"","paises_grupos_cluster1","n_interruptions","ncat_meanppac","ncat_meancompetence","n_log_debates_total","ncat_mean_typeorg","n_sd_typeorg","n_max_reg","n_years_reg"
"1","1",0.666666666666667,0.617424242424242,3.56439393939394,2.18559278538601,3.95044191919192,1.14488175203131,6,1.66666666666667
"2","2",0.833333333333333,0.159556130144365,1.56580400276052,2.44516344146858,2.44294253399857,0.78509184851372,0.5,0
"3","3",0.666666666666667,0.579564983888292,3.42626353528609,3.89010458507299,2.38718875311799,0.797231205529278,7,6.66666666666667
"4","4",2,0.5,0.5,0.346573590279973,1.5,0,1.5,0
"5","5",2.66666666666667,0.111111111111111,2.5010101010101,2.67539006498214,2.2218253968254,1.06476127920775,10.6666666666667,1
"6","6",9,0,4.33333333333333,1.38629436111989,2.25,0.5,0,0
