"","n_interruptions","ncat_meanppac","ncat_meancompetence","n_log_debates_total","ncat_mean_typeorg","n_sd_typeorg","n_max_reg","n_years_reg"
"n_interruptions",1,-0.398001118611243,0.227273526421857,-0.275779399198039,-0.145641321719478,-0.10709218529638,-0.0633748469776489,-0.244705997642329
"ncat_meanppac",-0.398001118611243,1,0.186090102561816,0.219806263718324,0.0440369746232334,-0.101749201124946,-0.105043677636807,0.353087626539877
"ncat_meancompetence",0.227273526421857,0.186090102561816,1,0.320875425253668,0.544067669026102,0.436823350788493,0.381094458505727,0.465562853900914
"n_log_debates_total",-0.275779399198039,0.219806263718324,0.320875425253668,1,0.134685510299564,0.43064418337219,0.319673700860656,0.621219800601984
"ncat_mean_typeorg",-0.145641321719478,0.0440369746232334,0.544067669026102,0.134685510299564,1,0.595841019587154,0.223593044204964,0.102937120094372
"n_sd_typeorg",-0.10709218529638,-0.101749201124946,0.436823350788493,0.43064418337219,0.595841019587154,1,0.386103875856961,0.0879329645141169
"n_max_reg",-0.0633748469776489,-0.105043677636807,0.381094458505727,0.319673700860656,0.223593044204964,0.386103875856961,1,0.485981290639249
"n_years_reg",-0.244705997642329,0.353087626539877,0.465562853900914,0.621219800601984,0.102937120094372,0.0879329645141169,0.485981290639249,1
