"","variables","min","max","mean","sd","mode","median","q0","q25","q50","q75","q100"
"1","n_interruptions",0,9,1.66666666666667,2.3263199921512,0,1,0,0,1,2,9
"2","ncat_meanppac",0,1.125,0.326757655174285,0.378381806443413,0,0.238095238095238,0,0,0.238095238095238,0.471634615384615,1.125
"3","ncat_meancompetence",0,4.33333333333333,2.40017555983149,1.35559579755915,1,2.76754385964912,0,1.36785714285714,2.76754385964912,3.46875,4.33333333333333
"4","n_log_debates_total",0,3.93182563272433,2.38909358315638,1.1096616271672,1.38629436111989,2.52492800362477,0,1.48766063814693,2.52492800362477,3.15187573953017,3.93182563272433
"5","ncat_mean_typeorg",1,4.09090909090909,2.53255685618874,0.79531914397493,4,2.35425925925926,1,2.09075630252101,2.35425925925926,2.79411410366245,4.09090909090909
"6","n_sd_typeorg",0,1.34705621247238,0.790620766743741,0.397961959163574,1.15470053837925,0.80997219949088,0,0.642118576886126,0.80997219949088,1.12371950538554,1.34705621247238
"7","n_max_reg",0,11,4.27777777777778,4.52191468498695,0,3,0,0,3,9,11
"8","n_years_reg",0,7,1.55555555555556,2.54886877381787,0,0,0,0,0,1,7
