"","cat_pais","ncat_eleccion","ncat_ronda","polar","source_polar"
"88","Costa Rica",2010,1,4.74399995803833,"Mainwaring & Su (2021) - runoff"
"89","Costa Rica",2014,1,5.2020001411438,"Mainwaring & Su (2021) - runoff"
"90","Costa Rica",2014,2,5.2020001411438,"Mainwaring & Su (2021) - runoff"
"91","Costa Rica",2018,1,3.28299999237061,"Mainwaring & Su (2021) - runoff"
"92","Costa Rica",2018,2,3.28299999237061,"Mainwaring & Su (2021) - runoff"
"93","Costa Rica",2022,1,NA,NA
"94","Costa Rica",2022,2,NA,NA
"95","Ecuador",1960,1,NA,NA
"96","Ecuador",1968,1,NA,NA
"97","Ecuador",1979,1,NA,NA
"98","Ecuador",1979,2,NA,NA
"99","Ecuador",1984,1,5.47300004959106,"Mainwaring & Su (2021) - runoff"
"100","Ecuador",1984,2,5.47300004959106,"Mainwaring & Su (2021) - runoff"
"101","Ecuador",1988,1,4.20100021362305,"Mainwaring & Su (2021) - runoff"
"102","Ecuador",1988,2,4.20100021362305,"Mainwaring & Su (2021) - runoff"
"103","Ecuador",1992,1,5.31300020217896,"Mainwaring & Su (2021) - runoff"
"104","Ecuador",1992,2,5.31300020217896,"Mainwaring & Su (2021) - runoff"
"105","Ecuador",1996,1,5.39900016784668,"Mainwaring & Su (2021) - runoff"
"106","Ecuador",1996,2,5.39900016784668,"Mainwaring & Su (2021) - runoff"
"107","Ecuador",1998,1,3.92000007629395,"Mainwaring & Su (2021) - runoff"
"108","Ecuador",1998,2,3.92000007629395,"Mainwaring & Su (2021) - runoff"
"109","Ecuador",2002,1,5.07299995422363,"Mainwaring & Su (2021) - runoff"
"110","Ecuador",2002,2,5.07299995422363,"Mainwaring & Su (2021) - runoff"
"111","Ecuador",2006,1,6.20800018310547,"Mainwaring & Su (2021) - runoff"
"112","Ecuador",2006,2,6.20800018310547,"Mainwaring & Su (2021) - runoff"
"113","Ecuador",2009,1,4.88000011444092,"Mainwaring & Su (2021) - runoff"
"114","Ecuador",2013,1,6.19899988174438,"Mainwaring & Su (2021) - runoff"
"115","Ecuador",2017,1,6.39200019836426,"Mainwaring & Su (2021) - runoff"
"116","Ecuador",2017,2,6.39200019836426,"Mainwaring & Su (2021) - runoff"
"117","Ecuador",2021,1,NA,NA
"118","Ecuador",2021,2,NA,NA
"119","Ecuador",2023,1,NA,NA
"120","Ecuador",2023,2,NA,NA
"121","El Salvador",1984,1,NA,NA
"122","El Salvador",1984,2,NA,NA
"123","El Salvador",1989,1,NA,NA
"124","El Salvador",1994,1,6.80999994277954,"Mainwaring & Su (2021) - runoff"
"125","El Salvador",1994,2,6.80999994277954,"Mainwaring & Su (2021) - runoff"
"126","El Salvador",1999,1,8.24400043487549,"Mainwaring & Su (2021) - runoff"
"127","El Salvador",2004,1,7.20300006866455,"Mainwaring & Su (2021) - runoff"
"128","El Salvador",2009,1,8.25,"Mainwaring & Su (2021) - runoff"
"129","El Salvador",2014,1,7.98699998855591,"Mainwaring & Su (2021) - runoff"
"130","El Salvador",2014,2,7.98699998855591,"Mainwaring & Su (2021) - runoff"
"131","El Salvador",2019,1,NA,NA
"132","El Salvador",2024,1,NA,NA
"133","Guatemala",1966,1,NA,NA
"134","Guatemala",1970,1,NA,NA
"135","Guatemala",1974,1,NA,NA
"136","Guatemala",1978,1,NA,NA
"137","Guatemala",1982,1,NA,NA
"138","Guatemala",1985,1,NA,NA
"139","Guatemala",1985,2,NA,NA
"140","Guatemala",1991,1,3.14100003242493,"Mainwaring & Su (2021) - runoff"
"141","Guatemala",1991,2,3.14100003242493,"Mainwaring & Su (2021) - runoff"
"142","Guatemala",1995,1,3.32800006866455,"Mainwaring & Su (2021) - runoff"
"143","Guatemala",1995,2,3.32800006866455,"Mainwaring & Su (2021) - runoff"
"144","Guatemala",1999,1,3.69600009918213,"Mainwaring & Su (2021) - runoff"
"145","Guatemala",1999,2,3.69600009918213,"Mainwaring & Su (2021) - runoff"
"146","Guatemala",2003,1,3.85999989509583,"Mainwaring & Su (2021) - runoff"
"147","Guatemala",2003,2,3.85999989509583,"Mainwaring & Su (2021) - runoff"
"148","Guatemala",2007,1,5.24399995803833,"Mainwaring & Su (2021) - runoff"
"149","Guatemala",2007,2,5.24399995803833,"Mainwaring & Su (2021) - runoff"
"150","Guatemala",2011,1,2.35899996757507,"Mainwaring & Su (2021) - runoff"
"151","Guatemala",2011,2,2.35899996757507,"Mainwaring & Su (2021) - runoff"
"152","Guatemala",2015,1,3.64499998092651,"Mainwaring & Su (2021) - runoff"
"153","Guatemala",2015,2,3.64499998092651,"Mainwaring & Su (2021) - runoff"
"154","Guatemala",2019,1,NA,NA
"155","Guatemala",2019,2,NA,NA
"156","Guatemala",2023,1,NA,NA
"157","Guatemala",2023,2,NA,NA
"158","Honduras",1981,1,NA,NA
"159","Honduras",1985,1,3.53999996185303,"Mainwaring & Su (2021) - runoff"
"160","Honduras",1989,1,3.69400000572205,"Mainwaring & Su (2021) - runoff"
"161","Honduras",1993,1,3.50200009346008,"Mainwaring & Su (2021) - runoff"
"162","Honduras",1997,1,4.99599981307983,"Mainwaring & Su (2021) - runoff"
"163","Honduras",2001,1,5.2189998626709,"Mainwaring & Su (2021) - runoff"
"164","Honduras",2005,1,5.23400020599365,"Mainwaring & Su (2021) - runoff"
"165","Honduras",2009,1,5.39200019836426,"Mainwaring & Su (2021) - runoff"
"166","Honduras",2013,1,NA,NA
"167","Honduras",2017,1,NA,NA
"168","Honduras",2021,1,NA,NA
"169","Mexico",1982,1,NA,NA
"170","Mexico",1988,1,NA,NA
"171","Mexico",1994,1,4.38100004196167,"Mainwaring & Su (2021) - runoff"
"172","Mexico",2000,1,5.08099985122681,"Mainwaring & Su (2021) - runoff"
"173","Mexico",2006,1,5.18400001525879,"Mainwaring & Su (2021) - runoff"
"174","Mexico",2012,1,4.66300010681152,"Mainwaring & Su (2021) - runoff"
"175","Mexico",2018,1,5.53700017929077,"Mainwaring & Su (2021) - runoff"
"176","Nicaragua",1984,1,NA,NA
"177","Nicaragua",1990,1,4.02799987792969,"Mainwaring & Su (2021) - runoff"
"178","Nicaragua",1996,1,4.59100008010864,"Mainwaring & Su (2021) - runoff"
"179","Nicaragua",2001,1,4.73699998855591,"Mainwaring & Su (2021) - runoff"
"180","Nicaragua",2006,1,4.89200019836426,"Mainwaring & Su (2021) - runoff"
"181","Nicaragua",2011,1,NA,NA
"182","Nicaragua",2016,1,NA,NA
"183","Panama",1994,1,2.92799997329712,"Mainwaring & Su (2021) - runoff"
"184","Panama",1999,1,2.90199995040894,"Mainwaring & Su (2021) - runoff"
"185","Panama",2004,1,3.30900001525879,"Mainwaring & Su (2021) - runoff"
