"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","v2pashname","v2pariglef_vdem","source_v2pariglef","v2paactcom_vdem","source_v2paactcom"
"66","Brasil",2022,2,"Jair Bolsonaro","PL",1.532,"Proyectado. Ultimo valor disponible V-DEM",-2.109,"Proyectado. Ultimo valor disponible V-DEM"
"67","Brasil",2022,2,"Luiz Inacio Lula da Silva","PT",-1.896,"Proyectado. Ultimo valor disponible V-DEM",0.567,"Proyectado. Ultimo valor disponible V-DEM"
"68","Chile",1989,1,"Hernan Buchi","Alliance",NA,"VDEM",NA,"VDEM"
"69","Chile",1989,1,"Patricio Aylwin Azocar","C",NA,"VDEM",NA,"VDEM"
"70","Chile",1993,1,"Manfred Max-Neef",NA,NA,NA,NA,NA
"71","Chile",1993,1,"Jose Pinera",NA,NA,NA,NA,NA
"72","Chile",1993,1,"Eugenio Pizzarro",NA,NA,NA,NA,NA
"73","Chile",1993,1,"Christian Reitze",NA,NA,NA,NA,NA
"74","Chile",1993,1,"Eduardo Frei Ruiz-Tagle","C",NA,"VDEM",NA,"VDEM"
"75","Chile",1993,1,"Arturo Alessandri Besa","Alliance",NA,"VDEM",NA,"VDEM"
"76","Chile",2000,1,"Joaquin Lavin Infante","Alliance",NA,NA,NA,NA
"77","Chile",2000,1,"Ricardo Lagos Escobar","C",NA,NA,NA,NA
"78","Chile",2006,1,"Michelle Bachelet","C",NA,"VDEM",NA,"VDEM"
"79","Chile",2006,1,"Tomas Hirsch Goldschmidt","PODEMOS",NA,"VDEM",NA,"VDEM"
"80","Chile",2006,1,"Joaquin Lavin Infante","UDI",2.619,"VDEM",0.473,"VDEM"
"81","Chile",2006,1,"Sebastian Pinera","RN",1.669,"VDEM",-0.977,"VDEM"
"82","Chile",2006,2,"Sebastian Pinera","RN",1.669,"Proyectado. Ultimo valor disponible V-DEM",-0.977,"Proyectado. Ultimo valor disponible V-DEM"
"83","Chile",2006,2,"Michelle Bachelet","C",NA,NA,NA,NA
"84","Chile",2010,1,"Jorge Arrate Mac Niven","PODEMOS",NA,NA,NA,NA
"85","Chile",2010,1,"Marco Enriquez-Ominami","C",NA,"VDEM",NA,"VDEM"
"86","Chile",2010,1,"Sebastian Pinera","RN",1.669,"VDEM",-0.977,"VDEM"
"87","Chile",2010,1,"Eduardo Frei Ruiz-Tagle","C",NA,"VDEM",NA,"VDEM"
"88","Chile",2010,2,"Sebastian Pinera","RN",1.669,"Proyectado. Ultimo valor disponible V-DEM",-0.977,"Proyectado. Ultimo valor disponible V-DEM"
"89","Chile",2010,2,"Eduardo Frei Ruiz-Tagle","C",NA,NA,NA,NA
"90","Chile",2013,1,"Franco Parisi",NA,NA,NA,NA,NA
"91","Chile",2013,1,"Marcel Claude","PH",NA,NA,NA,NA
"92","Chile",2013,1,"Ricardo Israel",NA,NA,NA,NA,NA
"93","Chile",2013,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA
"94","Chile",2013,1,"Roxana Miranda",NA,NA,NA,NA,NA
"95","Chile",2013,1,"Evelyn Matthei","Alliance",NA,"VDEM",NA,"VDEM"
"96","Chile",2013,1,"Alfredo Sfeir",NA,NA,NA,NA,NA
"97","Chile",2013,1,"Tomas Jocelyn-Holt",NA,NA,NA,NA,NA
"98","Chile",2013,1,"Michelle Bachelet","C",NA,"VDEM",NA,"VDEM"
"99","Chile",2013,2,"Michelle Bachelet","C",NA,"VDEM",NA,"VDEM"
"100","Chile",2013,2,"Evelyn Matthei","Alliance",NA,"VDEM",NA,"VDEM"
"101","Chile",2017,1,"Sebastian Pinera","RN",1.669,"VDEM",-0.977,"VDEM"
"102","Chile",2017,1,"Beatriz Sanchez","Broad Front",NA,"VDEM",NA,"VDEM"
"103","Chile",2017,1,"Jose Antonio Kast",NA,NA,NA,NA,NA
"104","Chile",2017,1,"Alejandro Guillier",NA,NA,NA,NA,NA
"105","Chile",2017,1,"Carolina Goic","PDC",0.312,"VDEM",-0.901,"VDEM"
"106","Chile",2017,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA
"107","Chile",2017,1,"Eduardo Artes",NA,NA,NA,NA,NA
"108","Chile",2017,1,"Alejandro Navarro",NA,NA,NA,NA,NA
"109","Chile",2017,2,"Sebastian Pinera","RN",1.669,"VDEM",-0.977,"VDEM"
"110","Chile",2017,2,"Alejandro Guillier",NA,NA,NA,NA,NA
"111","Chile",2021,1,"Gabriel Boric",NA,NA,NA,NA,NA
"112","Chile",2021,1,"Sebastian Sichel","PODEMOS",NA,NA,NA,NA
"113","Chile",2021,1,"Jose Antonio Kast",NA,NA,NA,NA,NA
"114","Chile",2021,1,"Yasna Provoste","PDC",0.312,"Proyectado. Ultimo valor disponible V-DEM",-0.901,"Proyectado. Ultimo valor disponible V-DEM"
"115","Chile",2021,1,"Eduardo Artes",NA,NA,NA,NA,NA
"116","Chile",2021,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA
"117","Chile",2021,1,"Franco Parisi",NA,NA,NA,NA,NA
"118","Chile",2021,2,"Gabriel Boric",NA,NA,NA,NA,NA
"119","Chile",2021,2,"Jose Antonio Kast",NA,NA,NA,NA,NA
"120","Argentina",2015,1,"Nicolas del Cano",NA,NA,NA,NA,NA
"121","Argentina",2015,1,"Adolfo Rodriguez Saa",NA,NA,NA,NA,NA
"122","Argentina",2015,1,"Sergio Massa","United for a...",NA,"VDEM",NA,"VDEM"
"123","Argentina",2015,1,"Margarita Stolbizer",NA,NA,NA,NA,NA
"124","Argentina",2015,1,"Mauricio Macri","C",NA,"VDEM",NA,"VDEM"
"125","Argentina",2015,2,"Daniel Scioli","FPV-PJ",-1.659,"VDEM",2.17,"VDEM"
"126","Argentina",2015,2,"Mauricio Macri","C",NA,"VDEM",NA,"VDEM"
"127","Argentina",2019,1,"Juan Jose Gomez Centurion",NA,NA,NA,NA,NA
"128","Argentina",2019,1,"Mauricio Macri","C",NA,"VDEM",NA,"VDEM"
"129","Argentina",2019,1,"Alberto Fernandez","Frente de Todos",NA,"VDEM",NA,"VDEM"
"130","Argentina",2019,1,"Jose Luis Espert",NA,NA,NA,NA,NA
"131","Argentina",2019,1,"Roberto Lavagna","CF",0.073,"VDEM",-1.35,"VDEM"
"132","Argentina",2019,1,"Nicolas del Cano",NA,NA,NA,NA,NA
"133","Argentina",2023,1,"Sergio Massa",NA,NA,NA,NA,NA
"134","Argentina",2023,1,"Javier Milei",NA,NA,NA,NA,NA
"135","Argentina",2023,1,"Myriam Bregman",NA,NA,NA,NA,NA
"136","Argentina",2023,1,"Juan Schiaretti",NA,NA,NA,NA,NA
"137","Argentina",2023,1,"Patricia Bullrich","C",NA,NA,NA,NA
"138","Argentina",2023,2,"Sergio Massa",NA,NA,NA,NA,NA
"139","Argentina",2023,2,"Javier Milei",NA,NA,NA,NA,NA
"140","Peru",1990,2,"Alberto Fujimori","NM",0.691,"VDEM",-0.795,"VDEM"
"141","Peru",1990,2,"Mario Vargas Llosa","Democratic F...",2.063,"VDEM",-1.277,"VDEM"
"142","Peru",2001,2,"Alejandro Toledo Manrique","PP",1.139,"VDEM",-1.104,"VDEM"
"143","Peru",2001,2,"Alan Garcia Perez","APRA/PAP",0.609,"VDEM",0.118,"VDEM"
"144","Peru",2006,2,"Alan Garcia Perez","APRA/PAP",1.818,"VDEM",0.447,"VDEM"
"145","Peru",2006,2,"Ollanta Moises Humala Tasso","UPP",-1.197,"VDEM",-1.39,"VDEM"
"146","Peru",2011,1,"Keiko Fujimori Higuchi","FP",2.03,"VDEM",-0.073,"VDEM"
"147","Peru",2011,1,"Oscar Luis Castaneda Lossio","Alianza Soli...",NA,"VDEM",NA,"VDEM"
"148","Peru",2011,1,"Pedro Pablo Kuczynski","Alianza Por ...",0.731,"VDEM",-1.769,"VDEM"
"149","Peru",2011,1,"Ollanta Moises Humala Tasso",NA,NA,NA,NA,NA
"150","Peru",2011,1,"Alejandro Toledo Manrique","PP",1.139,"VDEM",-1.104,"VDEM"
"151","Peru",2011,1,"Juliana Reymer Rodriguez",NA,NA,NA,NA,NA
"152","Peru",2011,1,"Humberto Pinazo Bella",NA,NA,NA,NA,NA
"153","Peru",2011,1,"Rafael Belaunde Aubry",NA,NA,NA,NA,NA
"154","Peru",2011,1,"Jose Manuel Rodriguez Cuadros",NA,NA,NA,NA,NA
"155","Peru",2011,1,"Ricardo Noriega Salaverry",NA,NA,NA,NA,NA
"156","Peru",2011,1,"Jose Nique de la Puente",NA,NA,NA,NA,NA
"157","Peru",2011,2,"Ollanta Moises Humala Tasso",NA,NA,NA,NA,NA
"158","Peru",2011,2,"Keiko Fujimori Higuchi","FP",2.03,"VDEM",-0.073,"VDEM"
"159","Peru",2016,1,"Antero Flores Araoz",NA,NA,NA,NA,NA
"160","Peru",2016,1,"Hernando Guerra Garcia",NA,NA,NA,NA,NA
"161","Peru",2016,1,"Francisco Diez Canseco",NA,NA,NA,NA,NA
"162","Peru",2016,1,"Yehude Simon",NA,NA,NA,NA,NA
"163","Peru",2016,1,"Fernando Olivera",NA,NA,NA,NA,NA
"164","Peru",2016,1,"Julio Guzman",NA,NA,NA,NA,NA
"165","Peru",2016,1,"Veronika Mendoza","Frente Amplio",-1.945,"VDEM",-0.335,"VDEM"
"166","Peru",2016,1,"Vladimir Cerron",NA,NA,NA,NA,NA
"167","Peru",2016,1,"Gregorio Santos Guerrero",NA,NA,NA,NA,NA
"168","Peru",2016,1,"Alan Garcia Perez","Popular Alli...",0.929,"VDEM",-1.076,"VDEM"
"169","Peru",2016,1,"Alejandro Toledo Manrique",NA,NA,NA,NA,NA
"170","Peru",2016,1,"Alfredo Barnechea","AP",0.48,"VDEM",-0.586,"VDEM"
"171","Peru",2016,1,"Keiko Fujimori Higuchi","FP",2.022,"VDEM",0.045,"VDEM"
"172","Peru",2016,1,"Miguel Hilario",NA,NA,NA,NA,NA
"173","Peru",2016,1,"Pedro Pablo Kuczynski","PPK",1.424,"VDEM",-1.461,"VDEM"
"174","Peru",2016,2,"Keiko Fujimori Higuchi","FP",2.022,"VDEM",0.045,"VDEM"
"175","Peru",2016,2,"Pedro Pablo Kuczynski",NA,NA,NA,NA,NA
"176","Peru",2021,1,"Yonhy Lescano","AP",0.48,"Proyectado. Ultimo valor disponible V-DEM",-0.586,"Proyectado. Ultimo valor disponible V-DEM"
"177","Peru",2021,1,"George Forsyth",NA,NA,NA,NA,NA
"178","Peru",2021,1,"Veronika Mendoza",NA,NA,NA,NA,NA
"179","Peru",2021,1,"Keiko Fujimori Higuchi","FP",2.022,"Proyectado. Ultimo valor disponible V-DEM",0.045,"Proyectado. Ultimo valor disponible V-DEM"
"180","Peru",2021,1,"Daniel Urresti",NA,NA,NA,NA,NA
"181","Peru",2021,1,"Cesar Acuna","APEP",NA,NA,NA,NA
"182","Peru",2021,1,"Marco Arana","Frente Amplio",-1.945,"Proyectado. Ultimo valor disponible V-DEM",-0.335,"Proyectado. Ultimo valor disponible V-DEM"
