"","id_debate","cat_pais","ncat_eleccion","t_fecha","dico_certidumbre","ncat_ronda","dico_pre_vice_candidaturas","t_hora","str_organizador","str_titulo","dico_streaming","str_sede","str_moderadores","str_panelistas","n_presentes","str_presentes","str_ausentes","n_jornadas","n_duracion","dico_obligatorio","cat_formato","dico_ddreplica","ncat_ppac","ncat_competencia","dico_analisis","cat_temas","dico_comentarios","dico_inserts","cat_panel","ncat_panel","dico_analytics","n_strorganizador","n_panelistas","n_moderadores","n_ausentes","n_invitados","dico_formato_apertura","dico_formato_libre","dico_formato_duelo","dico_formato_moderadores","dico_formato_periodistas","dico_formato_sectores","dico_formato_expertos","dico_formato_virtuales","dico_formato_expositivo","dico_formato_presentes","dico_temas_puntuales","dico_temas_libre","dico_temas_monotema","dico_temas_bloques","cat_ballotage","n_candidaturas","n_proporcioninvitados","n_porcentajeausentes","n_proporcionausentes","n_indexausentes","dico_ausencias","cat_regmedios","cat_regestado","cat_regcandidatos","ncat_regmedios","ncat_regestado","ncat_regcandidatos","ncat_totreg","dico_org_mmc","dico_org_osc","dico_org_educ","dico_org_estado","dico_org_mmp"
"212",212,"Guatemala",1995,NA,0,NA,NA,NA,"AGG Asociación de Generentes de Guatemala",NA,NA,NA,NA,NA,NA,"sin datos","sin datos",NA,NA,NA,"periodistas",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"213",213,"Guatemala",1999,NA,0,NA,NA,NA,"AGG Asociación de Generentes de Guatemala",NA,NA,NA,NA,NA,NA,"sin datos","sin datos",NA,NA,NA,"periodistas",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,"1",NA,NA,NA,NA,"FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE",NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"214",214,"Guatemala",2003,2003-09-26,1,1,NA,NA,"Universidad Francisco Marroquín (Instituto de Estudios Políticos y Relaciones Internacionales)","Foro Presidenciables",NA,"Auditorio Juan Gutiérrez Bautista","Dionisio Gutiérrez",NA,5,"Eduardo Suger;Fritz García-Gallont;Alvaro Colom;Manuel Conde Orellana;Leonel Lopez Rodas","Oscar Berger",NA,NA,NA,"moderadores","TRUE","0.0","1.0","1.0","puntuales","FALSE","FALSE","Estudiantes","1",0,"1",NA,1,1,6,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,11,0.545454545454545,34.33,0.166666666666667,5.72166666666667,1,"NADA","NADA","NADA",0,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
"215",215,"Guatemala",2003,2003-12-15,1,2,NA,NA,"AGG Asociación de Generentes de Guatemala",NA,NA,"Centro de Convenciones del Hotel Tikal Futura",NA,NA,2,"Oscar Berger;Álvaro Colom","sin ausencias conocidas",NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA",NA,0,"1",NA,NA,0,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2,2,1,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"216",216,"Guatemala",2007,2007-08-30,1,1,NA,"0.875","CNN en Español;Canal 3 Telecentro (Guatemala)",NA,NA,NA,"Glenda Umaña;Elsie Sierra",NA,5,"Alvaro Colom;Rigoberta Menchú;Eduardo Suger;Otto Pérez Molina;Alejandro Giammattei","sin ausencias conocidas",NA,NA,NA,"moderadores","NA","0.0","NA","0.0","puntuales","NA","NA",NA,NA,0,"2",NA,2,0,5,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,14,0.357142857142857,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"217",217,"Guatemala",2011,2011-06-02,1,1,NA,NA,"Congreso de Empresas Privadas de Seguirdad",NA,NA,NA,"Francisco Bermúdez",NA,5,"Manuel Baldizón;Harold Caballeros;Otto Pérez Molina;Eduardo Suger;Sandra Torres","sin ausencias conocidas",NA,NA,NA,"moderadores","FALSE","0.0","0.0","0.0","monotema","FALSE","FALSE","0.0",NA,0,"1",NA,1,0,5,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2,10,0.5,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"218",218,"Guatemala",2011,2011-06-23,1,1,NA,NA,"CIG Cámara de la Industria de Guatemala","InduExpo 2011",NA,"Parque de la Industria","Patricia Janiot",NA,5,"Sandra Torres;Otto Pérez Molina;Eduardo Suger;Harold Caballeros;Manuel Baldizón","sin ausencias conocidas",NA,NA,NA,"moderadores","FALSE","0.0","3.0","0.0","monotema","TRUE","FALSE","0.0",NA,0,"1",NA,1,0,5,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2,10,0.5,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"219",219,"Guatemala",2011,2011-07-13,1,1,NA,"0.395833333333333","CEG Conferencia Episcopal de Guatemala",NA,NA,NA,"Miguel Ángel González",NA,9,"Juan Gutiérrez;Eduardo Suger;Adela de Torre;Harold Caballeros;Alejandro Giammattei;Patricia de Arzú;Otto Pérez Molina;Manuel Baldizón;Rigoberta Menchú","Sandra Torres;Mario Estrada",NA,NA,NA,"moderadores","NA","NA","NA","NA","monotema","NA","NA",NA,NA,0,"1",NA,1,2,11,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE",2,10,1.1,23.77,0.181818181818182,4.32181818181818,1,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"220",220,"Guatemala",2011,2011-08-11,0,1,NA,NA,"Movimiento de Inmigrantes Guatemaltecos;Coalición Nacional de Migrantes;Sindicato Internacional de Trabajadores de Servicios",NA,NA,NA,NA,NA,NA,"sin datos","sin datos",NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",0,"3",NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",2,10,NA,NA,NA,NA,NA,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"221",221,"Guatemala",2011,2011-08-22,1,1,NA,NA,"AGG Asociación de Generentes de Guatemala",NA,NA,"Teatro Nacional Miguel Ángel Asturias","Jorge Gestoso",NA,3,"Otto Pérez Molina;Eduardo Suger;Manuel Baldizón","sin ausencias conocidas",NA,NA,NA,"moderadores","NA","0.0","NA","0.0","puntuales","NA","NA",NA,NA,0,"1",NA,1,0,3,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,10,0.3,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
"222",222,"Guatemala",2011,2011-08-25,1,1,NA,"0.802083333333333","CNN en Español;Canal 3 Telecentro (Guatemala)",NA,NA,NA,"Glenda Umaña;Elsie Sierra",NA,3,"Eduardo Suger;Otto Pérez Molina;Manuel Baldizón","sin ausencias conocidas",NA,NA,NA,"moderadores","NA","0.0","NA","0.0","puntuales","NA","NA",NA,NA,0,"2",NA,2,0,3,"FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE",2,10,0.3,0,0,0,0,"NADA","NADA","NADA",0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
