cat_pais,ncat_eleccion,ncat_ronda,nombres_candidatos,ninvitaciones,source_invitaciones
Bolivia,2014,1,Jorge Quiroga,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2014,1,Juan del Granado,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2014,1,Samuel Doria Medina,1,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Carlos Mesa,2,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Chi Hyun Chung,2,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Feliciano Mamani,2,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Jorge Quiroga,2,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Luis Arce,2,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Luis Fernando Camacho,2,Elaboracion propia con base en Franco Hantzsch (2022)
Bolivia,2020,1,Maria de la Cruz Baya,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Affonso Camargo,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Aureliano Chaves,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Fernando Collor de Mello,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Guilherme Afif Domingos,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Leonel Brizola,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Luiz Inacio Lula da Silva,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Mario Covas,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Paulo Maluf,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Roberto Freire,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Ronaldo Caiado,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Silvio Santos,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,1,Ulysses Guimaraes,6,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,2,Fernando Collor de Mello,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1989,2,Luiz Inacio Lula da Silva,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Eneas Ferreira Carneiro,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Esperidiao Amin,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Fernando Henrique Cardoso,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Flavio Gurgel Rocha,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Hernani Goulart Fortuna,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Leonel Brizola,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Luiz Inacio Lula da Silva,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Orestes Quercia,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,1994,1,Walter Queiroz,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2002,1,Anthony Garotinho,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2002,1,Ciro Gomes,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2002,1,Jose Serra,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2002,1,Luiz Inacio Lula da Silva,3,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2002,2,Jose Serra,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2002,2,Luiz Inacio Lula da Silva,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,1,Cristovam Buarque,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,1,Geraldo Alckmin,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,1,Heloisa Helena,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,1,Jose Maria Eymael,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,1,Luciano Bivar,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,1,Luiz Inacio Lula da Silva,2,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,2,Geraldo Alckmin,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2006,2,Luiz Inacio Lula da Silva,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2010,1,Dilma Rousseff,9,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2010,1,Jose Serra,9,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2010,1,Marina Silva,9,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2010,1,Plinio Sampaio,8,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2010,2,Dilma Rousseff,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2010,2,Jose Serra,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Aecio Neves,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Dilma Rousseff,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Eduardo Jorge,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Jose Maria Eymael,1,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Levy Fidelix,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Luciana Genro,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Marina Silva,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,1,Pastor Everaldo,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,2,Aecio Neves,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2014,2,Dilma Rousseff,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Alvaro Dias,7,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Cabo Daciolo,5,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Ciro Gomes,7,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Fernando Haddad,4,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Geraldo Alckmin,7,Elaboracion propia con base en Franco Hantzsch (2022)
Brasil,2018,1,Guilherme Boulos,7,Elaboracion propia con base en Franco Hantzsch (2022)
