"","cat_pais","ncat_eleccion","ncat_ronda","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2"
"29","Brasil",1998,1,6613.98318082927,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8319.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"30","Brasil",2002,1,6868.69590695211,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8644.419921875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"31","Brasil",2002,2,6868.69590695211,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8644.419921875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"32","Brasil",2006,1,7534.54250017952,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8924.330078125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"33","Brasil",2006,2,7534.54250017952,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8924.330078125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"34","Brasil",2010,1,8673.89838344205,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9761.8798828125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"35","Brasil",2010,2,8673.89838344205,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9761.8798828125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"36","Brasil",2014,1,9183.4597265639,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",11224.150390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"37","Brasil",2014,2,9183.4597265639,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",11224.150390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"38","Brasil",2018,1,8553.86590205122,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",11866.3896484375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"39","Brasil",2018,2,8553.86590205122,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",11866.3896484375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"40","Brasil",2022,1,8822.04504268033,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"41","Brasil",2022,2,8822.04504268033,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"42","Chile",1989,1,5291.71769146141,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"43","Chile",1993,1,6550.9135478083,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5851.47998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"44","Chile",2000,1,8238.30095198812,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7247.0498046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"45","Chile",2000,2,8549.07907277501,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"46","Chile",2006,1,10212.7824998686,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9101,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"47","Chile",2006,2,10725.0547635292,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"48","Chile",2010,1,11232.8231190015,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",11249.8701171875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"49","Chile",2010,2,11770.7565803284,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"50","Chile",2013,1,13316.0522954787,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",12268.4404296875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"51","Chile",2013,2,13316.0522954787,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",12268.4404296875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"52","Chile",2017,1,13612.9242460618,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",14551.0400390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"53","Chile",2017,2,13612.9242460618,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",14551.0400390625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"54","Chile",2021,1,14027.3068772462,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"55","Chile",2021,2,14027.3068772462,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"56","Colombia",1974,1,2833.38974703951,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2759.92993164062,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"57","Colombia",1978,1,3141.53144269188,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3238.22998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"58","Colombia",1982,1,3245.94167443792,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3581.03002929688,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"59","Colombia",1986,1,3400.94121192657,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3702.68994140625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
"60","Colombia",1990,1,3695.8058033367,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3887.64990234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)"
