"","cat_pais","ncat_eleccion","ncat_ronda","nombres_candidatos","anio","vote_share","vs_vote_share","party_name","vs_party_name","status","vs_status","source_str_vote_share","source_url_vote_share"
"54","Brasil",2018,1,"Henrique Meirelles",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Brasil",2018,1,"Guilherme Boulos",NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Brasil",2018,1,"Ciro Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Brasil",2018,1,"Cabo Daciolo",NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Brasil",2018,1,"Jair Bolsonaro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Brasil",2018,1,"Fernando Haddad",NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Brasil",2022,1,"Jair Bolsonaro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Brasil",2022,1,"Luiz Inacio Lula da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Brasil",2022,1,"Luiz Felipe d'Avila",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Brasil",2022,1,"Ciro Gomes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","Brasil",2022,1,"Simone Tebet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Brasil",2022,1,"Soraya Thronicke",NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Brasil",2022,1,"Kelmon Souza",NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Brasil",2022,2,"Jair Bolsonaro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Brasil",2022,2,"Luiz Inacio Lula da Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Chile",1989,1,"Hernan Buchi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Chile",1989,1,"Patricio Aylwin Azocar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","Chile",1993,1,"Eduardo Frei Ruiz-Tagle",1993,"57,98","58","Concertación (PDC)","PDC/PS","Incumbent","Incumbente","Friedenberg (2016a)",""
"72","Chile",1993,1,"Arturo Alessandri Besa",1993,"24,41","24,4",NA,"RD","Desafiante","Desafiante","Friedenberg (2016a)",""
"73","Chile",2000,1,"Joaquin Lavin Infante",1999,"47,51","47,51",NA,"RD","Desafiante","Desafiante","Friedenberg (2016a)",""
"74","Chile",2000,1,"Ricardo Lagos Escobar",NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Chile",2006,1,"Michelle Bachelet",2005,"45,96",NA,"Concertación (PS)",NA,"Incumbent",NA,"Friedenberg (2016a)",""
"76","Chile",2006,1,"Tomas Hirsch Goldschmidt",2005,"5,4","","","","Desafiante","","Friedenberg (2016a)",""
"77","Chile",2006,1,"Joaquin Lavin Infante",2005,"23,23","","","","Desafiante","","Friedenberg (2016a)",""
"78","Chile",2006,1,"Sebastian Pinera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Chile",2006,2,"Sebastian Pinera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Chile",2006,2,"Michelle Bachelet",2006,"53,5",NA,"Concertación (PS)",NA,"Incumbent",NA,"Friedenberg (2016a)",""
"81","Chile",2010,1,"Jorge Arrate Mac Niven",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Chile",2010,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","Chile",2010,1,"Sebastian Pinera",2009,"44,06",NA,"Coalición por el cambio (RN)",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"84","Chile",2010,1,"Eduardo Frei Ruiz-Tagle",2009,"29,6",NA,NA,NA,"Incumbent",NA,"Friedenberg (2016a)",""
"85","Chile",2010,2,"Sebastian Pinera",2010,"51,61",NA,"Coalición por el cambio (RN)",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"86","Chile",2010,2,"Eduardo Frei Ruiz-Tagle",2010,"48,39",NA,NA,NA,"Incumbent",NA,"Friedenberg (2016a)",""
"87","Chile",2013,1,"Franco Parisi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Chile",2013,1,"Marcel Claude",NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Chile",2013,1,"Ricardo Israel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"90","Chile",2013,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Chile",2013,1,"Roxana Miranda",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Chile",2013,1,"Evelyn Matthei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Chile",2013,1,"Alfredo Sfeir",NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Chile",2013,1,"Tomas Jocelyn-Holt",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","Chile",2013,1,"Michelle Bachelet",2013,"46,7",NA,"Nueva Mayoría (PS)",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"96","Chile",2013,2,"Michelle Bachelet",2013,"62,17",NA,"Nueva Mayoría (PS)",NA,"Desafiante",NA,"Friedenberg (2016a)",""
"97","Chile",2013,2,"Evelyn Matthei",NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Chile",2017,1,"Sebastian Pinera",NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Chile",2017,1,"Beatriz Sanchez",NA,NA,NA,NA,NA,NA,NA,NA,NA
"100","Chile",2017,1,"Jose Antonio Kast",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101","Chile",2017,1,"Alejandro Guillier",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Chile",2017,1,"Carolina Goic",NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Chile",2017,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Chile",2017,1,"Eduardo Artes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Chile",2017,1,"Alejandro Navarro",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","Chile",2017,2,"Sebastian Pinera",2017,"54,58",NA,"Chile Vamos (Independiente)",NA,"Desafiante",NA,"Freidenberg (2024)","https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034"
"107","Chile",2017,2,"Alejandro Guillier",NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Chile",2021,1,"Gabriel Boric",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","Chile",2021,1,"Sebastian Sichel",NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Chile",2021,1,"Jose Antonio Kast",NA,NA,NA,NA,NA,NA,NA,NA,NA
"111","Chile",2021,1,"Yasna Provoste",NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","Chile",2021,1,"Eduardo Artes",NA,NA,NA,NA,NA,NA,NA,NA,NA
"113","Chile",2021,1,"Marco Enriquez-Ominami",NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","Chile",2021,1,"Franco Parisi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Chile",2021,2,"Gabriel Boric",2021,"55,87",NA,"Apruebo Dignidad (CS)",NA,"Desafiante",NA,"Freidenberg (2024)","https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231034"
"116","Chile",2021,2,"Jose Antonio Kast",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Argentina",2015,1,"Nicolas del Cano",NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Argentina",2015,1,"Adolfo Rodriguez Saa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Argentina",2015,1,"Sergio Massa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Argentina",2015,1,"Margarita Stolbizer",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Argentina",2015,1,"Mauricio Macri",2015,"34,15",NA,"Cambiemos","PRO","Desafiante",NA,"Friedenberg (2016a)",""
"122","Argentina",2015,2,"Daniel Scioli",2015,"48,66",NA,"Frente para la Victoria","PJ","Incumbent",NA,"Friedenberg (2016a)",""
