"","cat_pais","ncat_eleccion","ncat_ronda","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting"
"49","Chile",2010,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"50","Chile",2013,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"51","Chile",2013,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"52","Chile",2017,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"53","Chile",2017,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"54","Chile",2021,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"55","Chile",2021,2,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"56","Colombia",1974,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"57","Colombia",1978,1,0,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"58","Colombia",1982,1,0,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"59","Colombia",1986,1,0,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"60","Colombia",1990,1,0,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"61","Colombia",1994,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"62","Colombia",1994,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"63","Colombia",1998,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"64","Colombia",1998,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA
"65","Colombia",2002,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"66","Colombia",2006,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"67","Colombia",2010,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"68","Colombia",2010,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"69","Colombia",2014,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"70","Colombia",2014,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"71","Colombia",2018,1,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"72","Colombia",2018,2,1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"73","Colombia",2022,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"74","Colombia",2022,2,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"75","Costa Rica",1962,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"76","Costa Rica",1966,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"77","Costa Rica",1970,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"78","Costa Rica",1974,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"79","Costa Rica",1978,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"80","Costa Rica",1982,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"81","Costa Rica",1986,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"82","Costa Rica",1990,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"83","Costa Rica",1994,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"84","Costa Rica",1998,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
