"","cat_pais","ncat_eleccion","ncat_ronda","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting"
"211","Peru",2016,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"212","Peru",2021,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"213","Peru",2021,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"214","Republica Dominicana",1978,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"215","Republica Dominicana",1982,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"216","Republica Dominicana",1986,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"217","Republica Dominicana",1990,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"218","Republica Dominicana",1994,1,NA,NA,NA,NA,NA,NA
"219","Republica Dominicana",1996,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"220","Republica Dominicana",1996,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"221","Republica Dominicana",2000,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"222","Republica Dominicana",2004,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"223","Republica Dominicana",2008,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"224","Republica Dominicana",2012,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"225","Republica Dominicana",2016,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"226","Republica Dominicana",2020,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"227","Uruguay",1984,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"228","Uruguay",1989,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"229","Uruguay",1994,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"230","Uruguay",1999,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"231","Uruguay",1999,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"232","Uruguay",2004,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"233","Uruguay",2009,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"234","Uruguay",2009,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"235","Uruguay",2014,1,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"236","Uruguay",2014,2,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"237","Uruguay",2019,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"238","Uruguay",2019,2,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"239","Venezuela",1958,1,NA,NA,NA,NA,1,"Base Qof ideavt_prescv"
"240","Venezuela",1963,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"241","Venezuela",1968,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"242","Venezuela",1973,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"243","Venezuela",1978,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"244","Venezuela",1983,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"245","Venezuela",1988,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv"
"246","Venezuela",1993,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"247","Venezuela",1998,1,0,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"248","Venezuela",2000,1,0,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"249","Venezuela",2006,1,0,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv"
"250","Venezuela",2012,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"251","Venezuela",2013,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
"252","Venezuela",2018,1,NA,NA,NA,NA,0,"Base Qof ideavt_prescv"
