"","cat_pais","ncat_eleccion","ncat_ronda","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region"
"63","Uruguay",1994,1,0.456825396825397,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"64","Uruguay",1999,2,0.37,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"65","Uruguay",2004,1,0.433333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"66","Uruguay",2009,2,0.5,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"67","Uruguay",2014,2,0.641666666666667,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"68","Uruguay",2019,2,0.793333333333333,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"69","Nicaragua",1984,1,0.35,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"70","Nicaragua",1990,1,0.311111111111111,0.555555555555556,5,"Calculo con base en data recabada para Franco H. (2022)"
"71","Nicaragua",1996,1,0.429761904761905,0.25,1,"Calculo con base en data recabada para Franco H. (2022)"
"72","Nicaragua",2001,1,0.283333333333333,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)"
"73","Nicaragua",2006,1,0.533333333333333,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
"74","Nicaragua",2011,1,0.591666666666667,1,6,"Calculo con base en data recabada para Franco H. (2022)"
"75","Nicaragua",2016,1,0.716666666666667,1,4,"Calculo con base en data recabada para Franco H. (2022)"
"76","Panama",1994,1,0.65,0.8,4,"Calculo con base en data recabada para Franco H. (2022)"
"77","Panama",1999,1,0.37,0.5,4,"Calculo con base en data recabada para Franco H. (2022)"
"78","Panama",2004,1,0.433333333333333,0.75,3,"Calculo con base en data recabada para Franco H. (2022)"
"79","Panama",2009,1,0.5,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"80","Panama",2014,1,0.641666666666667,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)"
"81","Panama",2019,1,0.793333333333333,0.666666666666667,6,"Calculo con base en data recabada para Franco H. (2022)"
"82","Venezuela",1958,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"83","Venezuela",1963,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"84","Venezuela",1968,1,0.5,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"85","Venezuela",1973,1,0.25,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"86","Venezuela",1978,1,0,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"87","Venezuela",1983,1,0.206666666666667,0.2,1,"Calculo con base en data recabada para Franco H. (2022)"
"88","Venezuela",1988,1,0.375,0,0,"Calculo con base en data recabada para Franco H. (2022)"
"89","Venezuela",1993,1,0.296825396825397,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"90","Venezuela",1998,1,0.43,0.5,1,"Calculo con base en data recabada para Franco H. (2022)"
"91","Venezuela",2000,1,0.375,0.25,2,"Calculo con base en data recabada para Franco H. (2022)"
"92","Venezuela",2006,1,0.472222222222222,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)"
