"","cat_pais","ncat_eleccion","nombres_candidatos","npresenciaspasadas","nausenciaspasadas","dicopresenciaspasadas","dicoausenciaspasadas","source_participaciones"
"54","Uruguay",1989,"Luis Alberto Lacalle Herrera",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"55","Peru",1990,"Alberto Fujimori",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"56","Peru",1990,"Mario Vargas Llosa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"57","Bolivia",1993,"Antonio Aranibar",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"58","Bolivia",1993,"Carlos Palenque",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"59","Bolivia",1993,"Felix Cardenas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"60","Bolivia",1993,"Fernando Untoja",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"61","Bolivia",1993,"Gonzalo Sanchez de Lozada",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"62","Bolivia",1993,"Hugo Banzer",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"63","Bolivia",1993,"Jerjes Justiniano",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"64","Bolivia",1993,"Mario Serrate",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"65","Bolivia",1993,"Max Fernandez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"66","Bolivia",1993,"Ramiro Velasco",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"67","Chile",1993,"Arturo Alessandri Besa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"68","Chile",1993,"Eduardo Frei Ruiz-Tagle",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"69","Honduras",1993,"Carlos Roberto Reina",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"70","Honduras",1993,"Jose Oswaldo Ramos Soto",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"71","Honduras",1993,"Marco Orlando Iriarte",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"72","Honduras",1993,"Olban Valladares",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"73","Brasil",1994,"Eneas Ferreira Carneiro",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"74","Brasil",1994,"Esperidiao Amin",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"75","Brasil",1994,"Fernando Henrique Cardoso",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"76","Brasil",1994,"Flavio Gurgel Rocha",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"77","Brasil",1994,"Hernani Goulart Fortuna",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"78","Brasil",1994,"Leonel Brizola",6,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"79","Brasil",1994,"Luiz Inacio Lula da Silva",8,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"80","Brasil",1994,"Orestes Quercia",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"81","Brasil",1994,"Walter Queiroz",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"82","Colombia",1994,"Andres Pastrana",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"83","Colombia",1994,"Ernesto Samper",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"84","Mexico",1994,"Cuauhtemoc Cardenas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"85","Mexico",1994,"Diego Fernandez de Cevallos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"86","Mexico",1994,"Ernesto Zedillo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"87","Panama",1994,"Eduardo Vallarino Arjona",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"88","Panama",1994,"Ernesto Perez Balladares",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"89","Panama",1994,"Jose Salvador Munoz",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"90","Panama",1994,"Mireya Moscoso",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"91","Panama",1994,"Ruben Blades",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"92","Panama",1994,"Ruben Dario Carles",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"93","Panama",1994,"Samuel Lewis Galindo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"94","Uruguay",1994,"Juan Andres Ramirez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"95","Uruguay",1994,"Julio Maria Sanguinetti",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"96","Uruguay",1994,"Tabare Vazquez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"97","Guatemala",1995,"Alfonso Portillo",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"98","Guatemala",1995,"Alvaro Arzu",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"99","Bolivia",1997,"Hugo Banzer",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"100","Bolivia",1997,"Ivo Kuljis",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"101","Bolivia",1997,"Jaime Paz Zamora",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"102","Bolivia",1997,"Juan Carlos Duran",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"103","Bolivia",1997,"Miguel Urioste",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"104","Bolivia",1997,"Remedios Loza",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"105","Colombia",1998,"Andres Pastrana",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"106","Colombia",1998,"Horacio Serpa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"107","Costa Rica",1998,"Jose Miguel Corrales Bolanos",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"108","Costa Rica",1998,"Miguel Angel Rodriguez Echeverria",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"109","Venezuela",1998,"Claudio Fermin",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"110","Venezuela",1998,"Hugo Chavez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"111","Venezuela",1998,"Irene Saez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"112","El Salvador",1999,"Facundo Guardado",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"113","El Salvador",1999,"Francisco Flores",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"114","El Salvador",1999,"Rodolfo Parker",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"115","El Salvador",1999,"Ruben Zamora",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"116","El Salvador",1999,"Salvador Nestor Garcia",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"117","Chile",2000,"Joaquin Lavin Infante",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"118","Chile",2000,"Ricardo Lagos Escobar",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"119","Mexico",2000,"Cuauhtemoc Cardenas",1,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"120","Mexico",2000,"Francisco Labastida",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"121","Mexico",2000,"Gilberto Rincon",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"122","Mexico",2000,"Manuel Camacho",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"123","Mexico",2000,"Porfirio Munoz",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"124","Mexico",2000,"Vicente Fox",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"125","Peru",2001,"Alan Garcia Perez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"126","Peru",2001,"Alejandro Toledo Manrique",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"127","Bolivia",2002,"Costa Obregon",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"128","Bolivia",2002,"Evo Morales",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"129","Bolivia",2002,"Felipe Quispe",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"130","Bolivia",2002,"Gonzalo Sanchez de Lozada",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"131","Bolivia",2002,"Jaime Paz Zamora",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"132","Bolivia",2002,"Johnny Fernandez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"133","Bolivia",2002,"Manfred Reyes Villa",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"134","Bolivia",2002,"Nicolas Valdivia",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"135","Bolivia",2002,"Rene Blattmann",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"136","Bolivia",2002,"Rolando Morales",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"137","Brasil",2002,"Anthony Garotinho",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"138","Brasil",2002,"Ciro Gomes",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"139","Brasil",2002,"Jose Serra",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"140","Brasil",2002,"Luiz Inacio Lula da Silva",10,1,1,1,"Elaboracion propia con base en Franco Hanztsch (2023)"
"141","Colombia",2002,"Alvaro Uribe Velez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"142","Colombia",2002,"Harold Bedoy",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"143","Colombia",2002,"Horacio Serpa",2,0,1,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"144","Colombia",2002,"Ingrid Betancourt",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"145","Colombia",2002,"Luis Eduardo Garzon",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"146","Colombia",2002,"Noemi Sanin",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"147","Costa Rica",2002,"Abel Pacheco de la Espriella",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"148","Costa Rica",2002,"Daniel Reynolds Vargas",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"149","Costa Rica",2002,"Jorge Walter Coto Molina",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"150","Costa Rica",2002,"Jose Hine Garcia",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"151","Costa Rica",2002,"Justo Orozco Alvarez",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"152","Costa Rica",2002,"Marvin Calvo Montoya",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
"153","Costa Rica",2002,"Otto Guevara",0,0,0,0,"Elaboracion propia con base en Franco Hanztsch (2023)"
