"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","nec","source_nec","volatility","newparties","withinsv","source_volatility","alineamiento","source_alineamiento","marginvic","source_marginvic","ntc","source_ntc","all_ntc_caro","dico_reeleccion","dico_oficialista","voteshareincumbent","source_voteshareincumbent","exapprovalsmoothed","exapprovalnotsmoothed","source_exapproval","proptv","source_proptv","prohibicionpropaganda","accesogratuito","source_accesomedios","regulacionordinal","regulaciondico","regulacionobligatoriodico","regulaciongarantiasdico","regulacionposibilidaddico","source_regulacion","propindivinternet2","propindivinternet","source_propindivinternet2","source_propindivinternet","satisfaccion","source_satisfaccion","prop_elec_usa_ciclo","n_debates_usa_ciclo","dico_debates_usa_ciclo","source_debates_usa_ciclo","avgpropdebatesregionxciclo","lagpropdebatesregion","lagndebatesregion","source_region","X","dico_debates_pastelection","dico_2_eleccondebatesseguidos","dico_3_eleccondebatesseguidos","dico_4_eleccondebatesseguidos","dico_5_eleccondebatesseguidos","dico_6_eleccondebatesseguidos","dico_7_eleccondebatesseguidos","cumsum_pastciclos","source_lagged"
"11","Argentina",2023,1,1,"Argentina",3.48229730635598,"Calculo propio con base en datos de candidatos",NA,NA,NA,NA,25.3,"LAPOP",-6.79,"Caluclo propio con base en datos desagregados por candidato",5,"Calculo propio con base en datos de candidatos",5,0,1,36.78,"Prensahttps://www.perfil.com/noticias/politica/escrutinio-definitivo-cuales-son-los-resultados-finales-de-las-elecciones-presidenciales.phtml - ",32.11807,33.12357,"Descargado manulamente de: https://executiveapproval.org/visualizationtest/",97.1,"Promedio de valores provenientes de:NA;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Ley N° 26.215, disponible en: https://servicios.infoleg.gob.ar/infolegInternet/anexos/120000-124999/124231/texact.htm ; Ley N° 19.945, disponible en: https://www.argentina.gob.ar/normativa/nacional/ley-19945-19442/actualizacion",9,1,1,0,0,"Franco H. (2022)",89.229,89.229,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos",0.376834415584415,"Promedio de valores provenientes de:LAPOP;Latinobarometro",1,2,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.735119047619048,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)",11,1,1,0,0,0,0,0,2,"Calculo con base en data recabada para Franco H. (2022)"
"12","Argentina",2023,2,1,"Argentina",1.97443025939157,"Calculo propio con base en datos de candidatos",NA,NA,NA,NA,25.3,"LAPOP",-11.38,"Caluclo propio con base en datos desagregados por candidato",2,"Calculo propio con base en datos de candidatos",2,0,1,44.31,"Friedenberg (2016a) - ",32.11807,33.12357,"Descargado manulamente de: https://executiveapproval.org/visualizationtest/",97.1,"Promedio de valores provenientes de:NA;Valor proyectado segun ultimo valor disponible LAPOP",1,1,"Ley N° 26.215, disponible en: https://servicios.infoleg.gob.ar/infolegInternet/anexos/120000-124999/124231/texact.htm ; Ley N° 19.945, disponible en: https://www.argentina.gob.ar/normativa/nacional/ley-19945-19442/actualizacion",9,1,1,0,0,"Franco H. (2022)",89.229,89.229,"UIT, con base en: Instituto Nacional de Estadistica y Censos","UIT, con base en: Instituto Nacional de Estadistica y Censos",0.376834415584415,"Promedio de valores provenientes de:LAPOP;Latinobarometro",1,2,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.735119047619048,0.833333333333333,5,"Calculo con base en data recabada para Franco H. (2022)",12,1,1,0,0,0,0,0,2,"Calculo con base en data recabada para Franco H. (2022)"
"13","Bolivia",1978,1,0,"Bolivia",2.92530291657966,"Calculo propio con base en datos de candidatos",NA,NA,NA,NA,NA,NA,-25.9,"Caluclo propio con base en datos desagregados por candidato",9,"Calculo propio con base en datos de candidatos",9,0,1,50.9,"Nohlen (2005b) Volumen II, p 150 - ",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0,0,0,"Calculo con base en data recabada para Franco H. (2022)",13,NA,NA,NA,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"14","Bolivia",1979,1,0,"Bolivia",3.50870114024015,"Calculo propio con base en datos de candidatos",NA,NA,NA,NA,NA,NA,-0.0999999999999943,"Caluclo propio con base en datos desagregados por candidato",8,"Calculo propio con base en datos de candidatos",8,0,0,0,"Imputado ya que no hay un claro oficialista",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,0,0,0,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.166666666666667,0.166666666666667,1,"Calculo con base en data recabada para Franco H. (2022)",14,0,NA,NA,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"15","Bolivia",1980,1,0,"Bolivia",4.35400100690627,"Calculo propio con base en datos de candidatos",NA,NA,NA,NA,NA,NA,-18.59,"Caluclo propio con base en datos desagregados por candidato",13,"Calculo propio con base en datos de candidatos",13,0,0,0,"Imputado ya que no hay un claro oficialista",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,0,0,0,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.666666666666667,0.666666666666667,2,"Calculo con base en data recabada para Franco H. (2022)",15,0,0,NA,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"16","Bolivia",1985,1,0,"Bolivia",4.53,"Lujan (2020)",NA,NA,NA,NA,NA,NA,-2.47,"Caluclo propio con base en datos desagregados por candidato",18,"Lujan (2020)",NA,0,0,0,"Imputado ya que no hay un claro oficialista",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,1,4,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.206666666666667,0.333333333333333,2,"Calculo con base en data recabada para Franco H. (2022)",16,0,0,0,NA,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"17","Bolivia",1989,1,1,"Bolivia",5.00554288791693,"Calculo propio con base en datos de candidatos",33.6699981689453,13.5,20.1700000762939,"Mainwaring & Su (2021)",NA,NA,-0.41,"Caluclo propio con base en datos desagregados por candidato",10,"Calculo propio con base en datos de candidatos",10,0,1,25.64,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231025 - ",NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,1,2,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.222222222222222,0,0,"Calculo con base en data recabada para Franco H. (2022)",17,0,0,0,0,NA,NA,NA,0,"Calculo con base en data recabada para Franco H. (2022)"
"18","Bolivia",1993,1,1,"Bolivia",4.69646665557987,"Calculo propio con base en datos de candidatos",39.8199996948242,19.1100006103516,20.7099990844727,"Mainwaring & Su (2021)",NA,NA,-14.31,"Caluclo propio con base en datos desagregados por candidato",14,"Calculo propio con base en datos de candidatos",14,0,1,21.05,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231028 - ",NA,NA,NA,NA,NA,0,1,"Planas (2002: 67)",0,0,0,0,0,"Franco H. (2022)",0,0,"Estimación razonable con base en fuentes cualitativas","Estimación razonable con base en fuentes cualitativas",NA,NA,1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.371031746031746,0.5,1,"Calculo con base en data recabada para Franco H. (2022)",18,1,0,0,0,0,NA,NA,1,"Calculo con base en data recabada para Franco H. (2022)"
"19","Bolivia",1997,1,1,"Bolivia",6.1330594227221,"Calculo propio con base en datos de candidatos",27.8199996948242,1.39999997615814,26.0400009155273,"Mainwaring & Su (2021)",46.0999984741211,"Mainwaring & Su (2021)",-4.06,"Caluclo propio con base en datos desagregados por candidato",10,"Calculo propio con base en datos de candidatos",10,0,1,18.2,"Freidenberg (2024)https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231030 - ",NA,NA,"Proyectado. Valor inmediato disponible en Carlin et al (2023)",81.9095477386935,"Promedio de valores provenientes de:Latinobarometro;NA",0,1,"Planas (2002: 67)",0,0,0,0,0,"Franco H. (2022)",0,0.577104,"Proyectado. Ultimo valor disponible UIT","Interpolación temporal con base en valores UIT usando función imputeTS::na_interpolation(",0.334170854271357,"Promedio de valores provenientes de:Latinobarometro",1,2,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.4125,0,0,"Calculo con base en data recabada para Franco H. (2022)",19,1,1,0,0,0,0,NA,2,"Calculo con base en data recabada para Franco H. (2022)"
"20","Bolivia",2002,1,1,"Bolivia",5.76876128081268,"Calculo propio con base en datos de candidatos",56.2099990844727,30.3799991607666,25.8299999237061,"Mainwaring & Su (2021)",46.0999984741211,"Mainwaring & Su (2021)",-1.52,"Caluclo propio con base en datos desagregados por candidato",11,"Calculo propio con base en datos de candidatos",11,0,1,3.39,"Political Database of the Americashttps://pdba.georgetown.edu/Elecdata/Bolivia/pres02.html - ",37.911171,42.888378,"Carlin et al (2023)",75.0402576489533,"Promedio de valores provenientes de:Latinobarometro;NA",0,1,"Freidenberg (2020)",0,0,0,0,0,"Franco H. (2022)",3.11719,3.11719,"UIT, con base en: SITTEL. ITU estimate.","UIT, con base en: SITTEL. ITU estimate.",0.235909822866345,"Promedio de valores provenientes de:Latinobarometro",1,3,1,"Cuenta con base en información disponible en: https://www.presidency.ucsb.edu/documents/presidential-documents-archive-guidebook/presidential-campaigns-debates-and-endorsements-0",0.333333333333333,0.25,1,"Calculo con base en data recabada para Franco H. (2022)",20,1,1,1,0,0,0,0,3,"Calculo con base en data recabada para Franco H. (2022)"
