"","cat_pais","ncat_eleccion","ncat_ronda","volatility","newparties","withinsv","source_volatility"
"62","Costa Rica",1994,1,4.53000020980835,0,4.53000020980835,"Mainwaring & Su (2021)"
"63","Costa Rica",1998,1,6.03000020980835,3.66000008583069,2.36999988555908,"Mainwaring & Su (2021)"
"64","Costa Rica",2002,1,28.0200004577637,26.5499992370605,1.47000002861023,"Mainwaring & Su (2021)"
"65","Costa Rica",2006,1,35.9599990844727,3.85999989509583,32.0999984741211,"Mainwaring & Su (2021)"
"66","Costa Rica",2010,1,21.1700000762939,2.24000000953674,18.9300003051758,"Mainwaring & Su (2021)"
"67","Costa Rica",2014,1,28.2999992370605,2.15000009536743,26.1499996185303,"Mainwaring & Su (2021)"
"68","Costa Rica",2018,1,48.9000015258789,5.53999996185303,43.3600006103516,"Mainwaring & Su (2021)"
"69","Costa Rica",2022,1,NA,NA,NA,NA
"70","Ecuador",1960,1,NA,NA,NA,NA
"71","Ecuador",1968,1,NA,NA,NA,NA
"72","Ecuador",1979,1,NA,NA,NA,NA
"73","Ecuador",1984,1,39.5,18.7000007629395,20.7999992370605,"Mainwaring & Su (2021)"
"74","Ecuador",1988,1,39.7999992370605,18.7000007629395,21.1000003814697,"Mainwaring & Su (2021)"
"75","Ecuador",1992,1,49.9599990844727,32.2200012207031,17.7399997711182,"Mainwaring & Su (2021)"
"76","Ecuador",1996,1,45.060001373291,22.7800006866455,22.2800006866455,"Mainwaring & Su (2021)"
"77","Ecuador",1998,1,43.5999984741211,5.19999980926514,38.4000015258789,"Mainwaring & Su (2021)"
"78","Ecuador",2002,1,58.6500015258789,44.6800003051758,13.9700002670288,"Mainwaring & Su (2021)"
"79","Ecuador",2006,1,38.9799995422363,24.9699993133545,14.0100002288818,"Mainwaring & Su (2021)"
"80","Ecuador",2009,1,48.3400001525879,8.36999988555908,39.9700012207031,"Mainwaring & Su (2021)"
"81","Ecuador",2013,1,34.2999992370605,26.5799999237061,7.71999979019165,"Mainwaring & Su (2021)"
"82","Ecuador",2017,1,35.9599990844727,3.9300000667572,32.0299987792969,"Mainwaring & Su (2021)"
"83","Ecuador",2021,1,NA,NA,NA,NA
"84","Ecuador",2023,1,NA,NA,NA,NA
"85","El Salvador",1984,1,NA,NA,NA,NA
"86","El Salvador",1989,1,NA,NA,NA,NA
"87","El Salvador",1994,1,29.6599998474121,28.3700008392334,1.28999996185303,"Mainwaring & Su (2021)"
"88","El Salvador",1999,1,18.6299991607666,4.1100001335144,14.5200004577637,"Mainwaring & Su (2021)"
"89","El Salvador",2004,1,13.5900001525879,0,13.5900001525879,"Mainwaring & Su (2021)"
"90","El Salvador",2009,1,15.6400003433228,0,15.6400003433228,"Mainwaring & Su (2021)"
"91","El Salvador",2014,1,12.3699998855591,12.1000003814697,0.270000010728836,"Mainwaring & Su (2021)"
"92","El Salvador",2019,1,NA,NA,NA,NA
"93","El Salvador",2024,1,NA,NA,NA,NA
"94","Guatemala",1966,1,NA,NA,NA,NA
"95","Guatemala",1970,1,NA,NA,NA,NA
"96","Guatemala",1974,1,NA,NA,NA,NA
"97","Guatemala",1978,1,NA,NA,NA,NA
"98","Guatemala",1982,1,NA,NA,NA,NA
"99","Guatemala",1985,1,NA,NA,NA,NA
