"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2","urbanpop","source_urbanpop","undphdi","source_undphdi","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting","polar","source_polar","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled","democraciappolity","source_democraciappolity","democraciavdemelectoralcomp","source_democraciavdemelectoralcomp","democraciavdempolyarchy","source_vdem_polyarchy","mediaqualitycorruptvdem","source_mediaqualitycorruptvdem","mediaqualityconftvwvs","source_mediaqualityconftvwvs","mediaqualitybiasnelda","source_mediaqualitybiasnelda","mediaqualityfreedombti","source_mediaqualityfreedombti","turnout","source_turnout"
"11","Argentina",2023,1,1,"Argentina",12625.4695509096,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",92.347,"Proyectado. Último valor disponible base Qof wdi_popurb",0.84200001,"Proyectado. Último valor disponible base Qof undp_hdi",NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",41,"41",9,"Proyectado. Último valor disponible base Qof p_polity2",0.876,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.823,"Proyectado. Último valor disponible base Qof vdem_polyarchy",2.952,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.1381154,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",9,"Proyectado. Último valor disponible base Qof bti_foe",77.04,"Web Chequeado: https://chequeado.com/el-explicador/elecciones-2023-la-participacion-fue-de-al-menos-el-74-la-mas-baja-en-una-eleccion-presidencial-desde-1983/"
"12","Argentina",2023,2,1,"Argentina",12625.4695509096,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",92.347,"Proyectado. Último valor disponible base Qof wdi_popurb",0.84200001,"Proyectado. Último valor disponible base Qof undp_hdi",NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",41,"41",9,"Proyectado. Último valor disponible base Qof p_polity2",0.876,"Proyectado. Último valor disponible base Qof vdem_edcomp_thick",0.823,"Proyectado. Último valor disponible base Qof vdem_polyarchy",2.952,"Proyectado. Último valor disponible base Qof vdem_mecorrpt",2.1381154,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Proyectado. Último valor disponible base Qof nelda_mbbe",9,"Proyectado. Último valor disponible base Qof bti_foe",76.4,"Web Chequeado: https://chequeado.com/el-explicador/elecciones-2023-la-participacion-fue-de-al-menos-el-74-la-mas-baja-en-una-eleccion-presidencial-desde-1983/"
"13","Bolivia",1978,1,0,"Bolivia",2184.04869854282,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",43.442,"Base Qof wdi_popurb",NA,NA,NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,0,"Base Qof p_durable",154,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",NA,"Dato perdido a propósito. Elección considerada híbrida por bmr_demdur",-4,"Base Qof p_polity2",0.147,"Base Qof vdem_edcomp_thick",0.109,"Base Qof vdem_polyarchy",1.366,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,102.62,"Base Qof ideavt_presvt"
"14","Bolivia",1979,1,0,"Bolivia",2138.52835477203,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",44.443,"Base Qof wdi_popurb",NA,NA,NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,1,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1",-4,"Base Qof p_polity2",0.18,"Base Qof vdem_edcomp_thick",0.143,"Base Qof vdem_polyarchy",1.366,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,90.5,"Base Qof ideavt_presvt"
"15","Bolivia",1980,1,0,"Bolivia",2062.96904633706,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",45.451,"Base Qof wdi_popurb",NA,NA,NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,0,"Base Qof p_durable",1,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",1,"1",-7,"Base Qof p_polity2",0.211,"Base Qof vdem_edcomp_thick",0.127,"Base Qof vdem_polyarchy",1.123,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,74.32,"Base Qof ideavt_presvt"
"16","Bolivia",1985,1,0,"Bolivia",1680.79401809447,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",50.519,"Base Qof wdi_popurb",NA,NA,NA,NA,NA,NA,1,"Base Qof ideavt_prescv",NA,NA,0,"Base Qof p_durable",4,"Base Qof bmr_demdur",NA,"Mainwaring & Su (2021) - age_demo",4,"4",9,"Base Qof p_polity2",0.515,"Base Qof vdem_edcomp_thick",0.469,"Base Qof vdem_polyarchy",2.938,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,81.97,"Base Qof ideavt_presvt"
"17","Bolivia",1989,1,1,"Bolivia",1646.80916412334,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1343.78002929688,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",54.571,"Base Qof wdi_popurb",0.55000001,"Proyectado. Último valor disponible base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.76200008392334,"Mainwaring & Su (2021) - runoff",4,"Base Qof p_durable",8,"Base Qof bmr_demdur",4,"Mainwaring & Su (2021) - age_demo",8,"8",9,"Base Qof p_polity2",0.737,"Base Qof vdem_edcomp_thick",0.654,"Base Qof vdem_polyarchy",2.938,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,73.16,"Base Qof ideavt_presvt"
"18","Bolivia",1993,1,1,"Bolivia",1770.77689865406,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1323.78002929688,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",58.079,"Base Qof wdi_popurb",0.57800001,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",5.06799983978271,"Mainwaring & Su (2021) - runoff",8,"Base Qof p_durable",12,"Base Qof bmr_demdur",8,"Mainwaring & Su (2021) - age_demo",12,"12",9,"Base Qof p_polity2",0.81,"Base Qof vdem_edcomp_thick",0.72,"Base Qof vdem_polyarchy",2.938,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,72.16,"Base Qof ideavt_presvt"
"19","Bolivia",1997,1,1,"Bolivia",1970.1680814491,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1428.36999511719,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",60.212,"Base Qof wdi_popurb",0.62,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.77400016784668,"Mainwaring & Su (2021) - runoff",12,"Base Qof p_durable",16,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",16,"16",9,"Base Qof p_polity2",0.84,"Base Qof vdem_edcomp_thick",0.746,"Base Qof vdem_polyarchy",2.938,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,71.36,"Base Qof ideavt_presvt"
"20","Bolivia",2002,1,1,"Bolivia",2029.61794375322,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",1584.11999511719,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",62.783,"Base Qof wdi_popurb",0.63,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.84000015258789,"Mainwaring & Su (2021) - runoff",17,"Base Qof p_durable",21,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",21,"21",9,"Base Qof p_polity2",0.822,"Base Qof vdem_edcomp_thick",0.732,"Base Qof vdem_polyarchy",2.938,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,72.06,"Base Qof ideavt_presvt"
