"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","gdpxcapita","source_gdp","gdpxcapita2","source_gdpxcapita2","urbanpop","source_urbanpop","undphdi","source_undphdi","runoff","concelec","source_runoff","source_concelec","compulsoryvoting","source_compulsoryvoting","polar","source_polar","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled","democraciappolity","source_democraciappolity","democraciavdemelectoralcomp","source_democraciavdemelectoralcomp","democraciavdempolyarchy","source_vdem_polyarchy","mediaqualitycorruptvdem","source_mediaqualitycorruptvdem","mediaqualityconftvwvs","source_mediaqualityconftvwvs","mediaqualitybiasnelda","source_mediaqualitybiasnelda","mediaqualityfreedombti","source_mediaqualityfreedombti","turnout","source_turnout"
"62","Colombia",1994,2,0,"Colombia",4039.99396090115,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4319.93017578125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",71.328,"Base Qof wdi_popurb",0.63999999,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA,4.41499996185303,"Mainwaring & Su (2021) - runoff",37,"Base Qof p_durable",37,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",37,"37",9,"Base Qof p_polity2",0.649,"Base Qof vdem_edcomp_thick",0.56,"Base Qof vdem_polyarchy",2.323,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,43.32,"Web IDEA: https://www.idea.int/data-tools/data/question-country?question_id=9189&country=49&database_theme=293 "
"63","Colombia",1998,1,0,"Colombia",4196.920348678,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4679.240234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",73.098,"Base Qof wdi_popurb",0.66500002,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA,4.22900009155273,"Mainwaring & Su (2021) - runoff",41,"Base Qof p_durable",41,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",41,"41",7,"Base Qof p_polity2",0.637,"Base Qof vdem_edcomp_thick",0.545,"Base Qof vdem_polyarchy",2.323,"Base Qof vdem_mecorrpt",2.374958,"Base Qof wvs_conftv",0,"Base Qof nelda_mbbe",NA,NA,51.55,"Web IDEA: https://www.idea.int/data-tools/data/question-country?question_id=9189&country=49&database_theme=293 "
"64","Colombia",1998,2,1,"Colombia",4196.920348678,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4679.240234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",73.098,"Base Qof wdi_popurb",0.66500002,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",NA,NA,4.22900009155273,"Mainwaring & Su (2021) - runoff",41,"Base Qof p_durable",41,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",41,"41",7,"Base Qof p_polity2",0.637,"Base Qof vdem_edcomp_thick",0.545,"Base Qof vdem_polyarchy",2.323,"Base Qof vdem_mecorrpt",2.374958,"Base Qof wvs_conftv",0,"Base Qof nelda_mbbe",NA,NA,58.76,"Web IDEA: https://www.idea.int/data-tools/data/question-country?question_id=9189&country=49&database_theme=293 "
"65","Colombia",2002,1,1,"Colombia",4045.30674640602,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4904.75,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",74.797,"Base Qof wdi_popurb",0.67000002,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.64499998092651,"Mainwaring & Su (2021) - runoff",45,"Base Qof p_durable",45,"Base Qof bmr_demdur",32,"Mainwaring & Su (2021) - age_demo",45,"45",7,"Base Qof p_polity2",0.633,"Base Qof vdem_edcomp_thick",0.539,"Base Qof vdem_polyarchy",2.323,"Base Qof vdem_mecorrpt",2.374958,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",NA,NA,46.45,"Base Qof ideavt_presvt"
"66","Colombia",2006,1,1,"Colombia",4685.05458534514,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4825.830078125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",76.423,"Base Qof wdi_popurb",0.69800001,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",6.90700006484985,"Mainwaring & Su (2021) - runoff",49,"Base Qof p_durable",49,"Base Qof bmr_demdur",36,"Mainwaring & Su (2021) - age_demo",49,"49",7,"Base Qof p_polity2",0.665,"Base Qof vdem_edcomp_thick",0.563,"Base Qof vdem_polyarchy",3.177,"Base Qof vdem_mecorrpt",2.4103587,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",5,"Proyectado. Último valor disponible base Qof bti_foe",45.11,"Base Qof ideavt_presvt"
"67","Colombia",2010,1,1,"Colombia",5209.73247012375,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5596.72998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",77.964,"Base Qof wdi_popurb",0.72600001,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.5460000038147,"Mainwaring & Su (2021) - runoff",53,"Base Qof p_durable",53,"Base Qof bmr_demdur",40,"Mainwaring & Su (2021) - age_demo",53,"53",7,"Base Qof p_polity2",0.702,"Base Qof vdem_edcomp_thick",0.617,"Base Qof vdem_polyarchy",3.177,"Base Qof vdem_mecorrpt",2.4103587,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe",44.35,"Base Qof ideavt_presvt"
"68","Colombia",2010,2,1,"Colombia",5209.73247012375,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5596.72998046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",77.964,"Base Qof wdi_popurb",0.72600001,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.5460000038147,"Mainwaring & Su (2021) - runoff",53,"Base Qof p_durable",53,"Base Qof bmr_demdur",40,"Mainwaring & Su (2021) - age_demo",53,"53",7,"Base Qof p_polity2",0.702,"Base Qof vdem_edcomp_thick",0.617,"Base Qof vdem_polyarchy",3.177,"Base Qof vdem_mecorrpt",2.4103587,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe",44.35,"Base Qof ideavt_presvt"
"69","Colombia",2014,1,1,"Colombia",6107.08301924277,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6250.66015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",79.415,"Base Qof wdi_popurb",0.75,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.37400007247925,"Mainwaring & Su (2021) - runoff",57,"Base Qof p_durable",57,"Base Qof bmr_demdur",44,"Mainwaring & Su (2021) - age_demo",57,"57",7,"Base Qof p_polity2",0.747,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy",3.306,"Base Qof vdem_mecorrpt",2.2327127,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe",47.9,"Base Qof ideavt_presvt"
"70","Colombia",2014,2,1,"Colombia",6107.08301924277,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6250.66015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",79.415,"Base Qof wdi_popurb",0.75,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.37400007247925,"Mainwaring & Su (2021) - runoff",57,"Base Qof p_durable",57,"Base Qof bmr_demdur",44,"Mainwaring & Su (2021) - age_demo",57,"57",7,"Base Qof p_polity2",0.747,"Base Qof vdem_edcomp_thick",0.671,"Base Qof vdem_polyarchy",3.306,"Base Qof vdem_mecorrpt",2.2327127,"Proyectado. Último valor disponible base Qof wvs_conftv",0,"Base Qof nelda_mbbe",6,"Proyectado. Último valor disponible base Qof bti_foe",47.9,"Base Qof ideavt_presvt"
"71","Colombia",2018,1,1,"Colombia",6320.99074680751,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7313.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",80.778,"Base Qof wdi_popurb",0.76300001,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.5,"Mainwaring & Su (2021) - runoff",61,"Base Qof p_durable",61,"Base Qof bmr_demdur",48,"Mainwaring & Su (2021) - age_demo",61,"61",7,"Base Qof p_polity2",0.774,"Base Qof vdem_edcomp_thick",0.672,"Base Qof vdem_polyarchy",3.106,"Base Qof vdem_mecorrpt",2.0401316,"Base Qof wvs_conftv",3,"Base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe",53.38,"Base Qof ideavt_presvt"
"72","Colombia",2018,2,0,"Colombia",6320.99074680751,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7313.2099609375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",80.778,"Base Qof wdi_popurb",0.76300001,"Base Qof undp_hdi",1,0,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",0,"Base Qof ideavt_prescv",5.5,"Mainwaring & Su (2021) - runoff",61,"Base Qof p_durable",61,"Base Qof bmr_demdur",48,"Mainwaring & Su (2021) - age_demo",61,"61",7,"Base Qof p_polity2",0.774,"Base Qof vdem_edcomp_thick",0.672,"Base Qof vdem_polyarchy",3.106,"Base Qof vdem_mecorrpt",2.0401316,"Base Qof wvs_conftv",3,"Base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe",53.38,"Base Qof ideavt_presvt"
"73","Colombia",2022,1,1,"Colombia",6836.22873742474,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",82.05,"Base Qof wdi_popurb",0.75199997,"Proyectado. Último valor disponible base Qof undp_hdi",NA,NA,NA,NA,0,"Base Qof ideavt_prescv",NA,NA,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",65,"65",7,"Proyectado. Último valor disponible base Qof p_polity2",0.76,"Base Qof vdem_edcomp_thick",0.689,"Base Qof vdem_polyarchy",3.016,"Base Qof vdem_mecorrpt",2.0401316,"Proyectado. Último valor disponible base Qof wvs_conftv",3,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe",58.1,"Base Qof ideavt_presvt"
"74","Colombia",2022,2,0,"Colombia",6836.22873742474,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",NA,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",82.05,"Base Qof wdi_popurb",0.75199997,"Proyectado. Último valor disponible base Qof undp_hdi",NA,NA,NA,NA,0,"Base Qof ideavt_prescv",NA,NA,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",65,"65",7,"Proyectado. Último valor disponible base Qof p_polity2",0.76,"Base Qof vdem_edcomp_thick",0.689,"Base Qof vdem_polyarchy",3.016,"Base Qof vdem_mecorrpt",2.0401316,"Proyectado. Último valor disponible base Qof wvs_conftv",3,"Proyectado. Último valor disponible base Qof nelda_mbbe",7,"Proyectado. Último valor disponible base Qof bti_foe",58.1,"Base Qof ideavt_presvt"
"75","Costa Rica",1962,1,0,"Costa Rica",3557.05684164856,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2757.75,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",34.404,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.27900004386902,"Mainwaring & Su (2021) - runoff",13,"Base Qof p_durable",14,"Base Qof bmr_demdur",9,"Mainwaring & Su (2021) - age_demo",14,"14",10,"Base Qof p_polity2",0.775,"Base Qof vdem_edcomp_thick",0.733,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,80.87,"Base Qof ideavt_presvt"
"76","Costa Rica",1966,1,0,"Costa Rica",3989.34368519075,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",2847.14990234375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",36.39,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",1.25,"Mainwaring & Su (2021) - runoff",17,"Base Qof p_durable",18,"Base Qof bmr_demdur",13,"Mainwaring & Su (2021) - age_demo",18,"18",10,"Base Qof p_polity2",0.78,"Base Qof vdem_edcomp_thick",0.737,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,81.4,"Base Qof ideavt_presvt"
"77","Costa Rica",1970,1,0,"Costa Rica",4623.01297405337,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3211.32006835938,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",38.827,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.93099999427795,"Mainwaring & Su (2021) - runoff",21,"Base Qof p_durable",22,"Base Qof bmr_demdur",17,"Mainwaring & Su (2021) - age_demo",22,"22",10,"Base Qof p_polity2",0.779,"Base Qof vdem_edcomp_thick",0.741,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,83.34,"Base Qof ideavt_presvt"
"78","Costa Rica",1974,1,0,"Costa Rica",5473.29797912269,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",3707.10009765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",41.002,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.86500000953674,"Mainwaring & Su (2021) - runoff",25,"Base Qof p_durable",26,"Base Qof bmr_demdur",21,"Mainwaring & Su (2021) - age_demo",26,"26",10,"Base Qof p_polity2",0.783,"Base Qof vdem_edcomp_thick",0.743,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,79.92,"Base Qof ideavt_presvt"
"79","Costa Rica",1978,1,1,"Costa Rica",6143.63894665042,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4399.81982421875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",42.396,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.64100003242493,"Mainwaring & Su (2021) - runoff",29,"Base Qof p_durable",30,"Base Qof bmr_demdur",25,"Mainwaring & Su (2021) - age_demo",30,"30",10,"Base Qof p_polity2",0.869,"Base Qof vdem_edcomp_thick",0.827,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,81.27,"Base Qof ideavt_presvt"
"80","Costa Rica",1982,1,1,"Costa Rica",5275.59900731003,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4951.759765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",43.803,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.21199989318848,"Mainwaring & Su (2021) - runoff",33,"Base Qof p_durable",34,"Base Qof bmr_demdur",29,"Mainwaring & Su (2021) - age_demo",34,"34",10,"Base Qof p_polity2",0.889,"Base Qof vdem_edcomp_thick",0.867,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,78.63,"Base Qof ideavt_presvt"
"81","Costa Rica",1986,1,1,"Costa Rica",5581.2561174697,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4264.31982421875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",46.353,"Base Qof wdi_popurb",NA,NA,1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.06599998474121,"Mainwaring & Su (2021) - runoff",37,"Base Qof p_durable",38,"Base Qof bmr_demdur",33,"Mainwaring & Su (2021) - age_demo",38,"38",10,"Base Qof p_polity2",0.894,"Base Qof vdem_edcomp_thick",0.872,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,84.85,"Base Qof ideavt_presvt"
"82","Costa Rica",1990,1,1,"Costa Rica",5967.19094183268,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4481.830078125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",50.003,"Base Qof wdi_popurb",0.66000003,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.84999990463257,"Mainwaring & Su (2021) - runoff",41,"Base Qof p_durable",42,"Base Qof bmr_demdur",37,"Mainwaring & Su (2021) - age_demo",42,"42",10,"Base Qof p_polity2",0.913,"Base Qof vdem_edcomp_thick",0.891,"Base Qof vdem_polyarchy",3.556,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,81.81,"Base Qof ideavt_presvt"
"83","Costa Rica",1994,1,1,"Costa Rica",6751.91925524745,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",4911.5498046875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",53.653,"Base Qof wdi_popurb",0.685,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",1.85500001907349,"Mainwaring & Su (2021) - runoff",45,"Base Qof p_durable",46,"Base Qof bmr_demdur",41,"Mainwaring & Su (2021) - age_demo",46,"46",10,"Base Qof p_polity2",0.917,"Base Qof vdem_edcomp_thick",0.895,"Base Qof vdem_polyarchy",3.638,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,81.11,"Base Qof ideavt_presvt"
"84","Costa Rica",1998,1,1,"Costa Rica",7355.15363564155,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",5563.02001953125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",57.264,"Base Qof wdi_popurb",0.70499998,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",2.06500005722046,"Mainwaring & Su (2021) - runoff",49,"Base Qof p_durable",50,"Base Qof bmr_demdur",45,"Mainwaring & Su (2021) - age_demo",50,"50",10,"Base Qof p_polity2",0.92,"Base Qof vdem_edcomp_thick",0.899,"Base Qof vdem_polyarchy",3.638,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,69.99,"Base Qof ideavt_presvt"
"85","Costa Rica",2002,1,1,"Costa Rica",7898.63313789409,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6020.759765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",61.753,"Base Qof wdi_popurb",0.722,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.54800009727478,"Mainwaring & Su (2021) - runoff",53,"Base Qof p_durable",54,"Base Qof bmr_demdur",49,"Mainwaring & Su (2021) - age_demo",54,"54",10,"Base Qof p_polity2",0.923,"Base Qof vdem_edcomp_thick",0.901,"Base Qof vdem_polyarchy",3.638,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,60.22,"Base Qof ideavt_presvt"
"86","Costa Rica",2002,2,1,"Costa Rica",7898.63313789409,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6020.759765625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",61.753,"Base Qof wdi_popurb",0.722,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.54800009727478,"Mainwaring & Su (2021) - runoff",53,"Base Qof p_durable",54,"Base Qof bmr_demdur",49,"Mainwaring & Su (2021) - age_demo",54,"54",10,"Base Qof p_polity2",0.923,"Base Qof vdem_edcomp_thick",0.901,"Base Qof vdem_polyarchy",3.638,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",NA,NA,60.22,"Base Qof ideavt_presvt"
"87","Costa Rica",2006,1,1,"Costa Rica",9041.38679579351,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",6434.39013671875,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",66.935,"Base Qof wdi_popurb",0.74699998,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.20100021362305,"Mainwaring & Su (2021) - runoff",57,"Base Qof p_durable",58,"Base Qof bmr_demdur",53,"Mainwaring & Su (2021) - age_demo",58,"58",10,"Base Qof p_polity2",0.93,"Base Qof vdem_edcomp_thick",0.907,"Base Qof vdem_polyarchy",3.638,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe",65.21,"Base Qof ideavt_presvt"
"88","Costa Rica",2010,1,1,"Costa Rica",10137.5821702895,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",7351.85986328125,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",71.736,"Base Qof wdi_popurb",0.77200001,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",4.74399995803833,"Mainwaring & Su (2021) - runoff",61,"Base Qof p_durable",62,"Base Qof bmr_demdur",57,"Mainwaring & Su (2021) - age_demo",62,"62",10,"Base Qof p_polity2",0.933,"Base Qof vdem_edcomp_thick",0.912,"Base Qof vdem_polyarchy",3.699,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe",69.12,"Base Qof ideavt_presvt"
"89","Costa Rica",2014,1,1,"Costa Rica",11240.7115867772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8199.41015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",75.941,"Base Qof wdi_popurb",0.796,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",5.2020001411438,"Mainwaring & Su (2021) - runoff",65,"Base Qof p_durable",66,"Base Qof bmr_demdur",61,"Mainwaring & Su (2021) - age_demo",66,"66",10,"Base Qof p_polity2",0.934,"Base Qof vdem_edcomp_thick",0.908,"Base Qof vdem_polyarchy",3.561,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe",55.64,"Base Qof ideavt_presvt"
"90","Costa Rica",2014,2,0,"Costa Rica",11240.7115867772,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",8199.41015625,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",75.941,"Base Qof wdi_popurb",0.796,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",5.2020001411438,"Mainwaring & Su (2021) - runoff",65,"Base Qof p_durable",66,"Base Qof bmr_demdur",61,"Mainwaring & Su (2021) - age_demo",66,"66",10,"Base Qof p_polity2",0.934,"Base Qof vdem_edcomp_thick",0.908,"Base Qof vdem_polyarchy",3.561,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe",55.64,"Base Qof ideavt_presvt"
"91","Costa Rica",2018,1,1,"Costa Rica",12470.9574208108,"WDI Indicators - GDP per capita (constant 2015 US$) - NY.GDP.PCAP.KD",9065.0302734375,"Mainwaring & Su (2021) - WDI Indicators - GDP per capita (constant 2010 US$)",79.34,"Base Qof wdi_popurb",0.81099999,"Base Qof undp_hdi",1,1,"Mainwaring & Su (2021) - runoff","Mainwaring & Su (2021) - conc_elec",1,"Base Qof ideavt_prescv",3.28299999237061,"Mainwaring & Su (2021) - runoff",69,"Base Qof p_durable",70,"Base Qof bmr_demdur",65,"Mainwaring & Su (2021) - age_demo",70,"70",10,"Base Qof p_polity2",0.927,"Base Qof vdem_edcomp_thick",0.894,"Base Qof vdem_polyarchy",3.561,"Base Qof vdem_mecorrpt",NA,NA,0,"Base Qof nelda_mbbe",10,"Proyectado. Último valor disponible base Qof bti_foe",65.7,"Base Qof ideavt_presvt"
