"","cat_pais","ncat_eleccion","ncat_ronda","dico_debates_eleccion","eng_cat_pais","candidate_name","vote_share","party_name","status","compilador_vote_share","source_url_vote_share","source_str_vote_share"
"40","Bolivia",1985,1,0,"Bolivia",NA,"30,36","NA - MNR","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231024","Freidenberg (2024)"
"41","Bolivia",1989,1,1,"Bolivia","Gonzalo Sanchez de Lozada","25,64","MNR - MIR","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231025","Freidenberg (2024)"
"42","Bolivia",1989,1,1,"Bolivia",NA,"25,23","NA - ADN","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231026","Freidenberg (2024)"
"43","Bolivia",1993,1,1,"Bolivia","Gonzalo Sanchez de Lozada","35,36","MNR - MNR","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231027","Freidenberg (2024)"
"44","Bolivia",1993,1,1,"Bolivia",NA,"21,05","NA - ADN",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231028","Freidenberg (2024)"
"45","Bolivia",1997,1,1,"Bolivia","Hugo Banzer","22,26","ADN - ADN","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231029","Freidenberg (2024)"
"46","Bolivia",1997,1,1,"Bolivia",NA,"18,2","NA - MNR","Incumbente",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231030","Freidenberg (2024)"
"47","Bolivia",2002,1,1,"Bolivia","Gonzalo Sanchez de Lozada","22,46","MNR - MNR","Desafiante",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231031","Freidenberg (2024)"
"48","Bolivia",2002,1,1,"Bolivia",NA,"20,94","NA - MAS",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231032","Freidenberg (2024)"
"49","Bolivia",2005,1,1,"Bolivia","Evo Morales","53,72","MAS-IPSP - MAS","Desafiante",NA,"","Friedenberg (2016a)"
"50","Bolivia",2005,1,1,"Bolivia",NA,"28,62","Poder Democrático y Social - Podemos",NA,NA,"","Friedenberg (2016a)"
"51","Bolivia",2005,1,1,"Bolivia","","7,7","Unidad Nacional - UN","",NA,"","Friedenberg (2016a)"
"52","Bolivia",2009,1,0,"Bolivia","Evo Morales","64,22","MAS-IPSP - MAS","Incumbent",NA,"","Friedenberg (2016a)"
"53","Bolivia",2009,1,0,"Bolivia",NA,"26,46","Plan Progreso para Bolivia - PPB-CN","Desafiante",NA,"","Friedenberg (2016a)"
"54","Bolivia",2009,1,0,"Bolivia","","5,6","Unidad Nacional - UN","Desafiante",NA,"","Friedenberg (2016a)"
"55","Bolivia",2014,1,1,"Bolivia","Evo Morales","61,36","MAS-IPSP - MAS","Incumbent",NA,"","Friedenberg (2016a)"
"56","Bolivia",2014,1,1,"Bolivia","","24,23","Unidad Nacional - UN","Desafiante",NA,"","Friedenberg (2016a)"
"57","Bolivia",2014,1,1,"Bolivia",NA,"2,7","Movimiento Sin Miedo - MSM","Desafiante",NA,"","Friedenberg (2016a)"
"58","Bolivia",2014,1,1,"Bolivia","","9","Partido Demócrata Cristiano - PDC","Desafiante",NA,"","Friedenberg (2016a)"
"59","Bolivia",2019,1,0,"Bolivia","Evo Morales","47,08","MAS-IPSP - NA","Incumbent",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231032","Freidenberg (2024)"
"60","Bolivia",2019,1,0,"Bolivia",NA,"36,51","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231032","Freidenberg (2024)"
"61","Bolivia",2020,1,1,"Bolivia","Luis Arce","55,11","MAS-IPSP - NA","Incumbent",NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231032","Freidenberg (2024)"
"62","Bolivia",2020,1,1,"Bolivia",NA,"28,83","NA - NA",NA,NA,"https://docs.google.com/spreadsheets/d/1dHGOkLPw5adHjyrGcbrwRQ3dSmeBgGb2/edit?gid=1202231021#gid=1202231032","Freidenberg (2024)"
"63","Brasil",1989,1,1,"Brazil","Fernando Collor de Mello","30,5","PRN - PRN",NA,NA,"","Friedenberg (2016a)"
"64","Brasil",1989,1,1,"Brazil","Luiz Inacio Lula da Silva","17,2","Partido de los Trabajadores - PT",NA,NA,"","Friedenberg (2016a)"
"65","Brasil",1989,1,1,"Brazil","","16,5","PDT - PDT","",NA,"","Friedenberg (2016a)"
"66","Brasil",1989,1,1,"Brazil","","11,5","PSDB - PSDB","",NA,"","Friedenberg (2016a)"
"67","Brasil",1989,1,1,"Brazil","","4,7","PMDB - PMDB","",NA,"","Friedenberg (2016a)"
"68","Brasil",1989,1,1,"Brazil","","8,9","PDS/PPR/PPB/PP - PDS/PPR/PPB/PP","",NA,"","Friedenberg (2016a)"
"69","Brasil",1989,1,1,"Brazil","","4,8","PL/PR - PL/PR","",NA,"","Friedenberg (2016a)"
"70","Brasil",1989,1,1,"Brazil","","0,9","PFL/DEM - PFL/DEM","",NA,"","Friedenberg (2016a)"
"71","Brasil",1989,1,1,"Brazil","","0,5","PRONA - PRONA","",NA,"","Friedenberg (2016a)"
"72","Brasil",1989,2,1,"Brazil","Fernando Collor de Mello","53,03","PRN - NA","Desafiante",NA,"","Friedenberg (2016a)"
"73","Brasil",1989,2,1,"Brazil","Luiz Inacio Lula da Silva","46,97","Partido de los Trabajadores - NA",NA,NA,"","Friedenberg (2016a)"
"74","Brasil",1994,1,1,"Brazil","Fernando Henrique Cardoso","54,27","Unión Trabajo y Progreso (PSDB) - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"75","Brasil",1994,1,1,"Brazil","Luiz Inacio Lula da Silva","27,04","Partido de los Trabajadores - PT","Desafiante",NA,"","Friedenberg (2016a)"
"76","Brasil",1994,1,1,"Brazil","","3,2","PDT - PDT","",NA,"","Friedenberg (2016a)"
"77","Brasil",1994,1,1,"Brazil","","4,4","PMDB - PMDB","",NA,"","Friedenberg (2016a)"
"78","Brasil",1994,1,1,"Brazil","","0,6","PRN - PRN","",NA,"","Friedenberg (2016a)"
"79","Brasil",1994,1,1,"Brazil","","2,7","PDS/PPR/PPB/PP - PDS/PPR/PPB/PP","",NA,"","Friedenberg (2016a)"
"80","Brasil",1994,1,1,"Brazil","","7,4","PRONA - PRONA","",NA,"","Friedenberg (2016a)"
"81","Brasil",1998,1,0,"Brazil","Fernando Henrique Cardoso","53,06","Unión Trabajo y Progreso (PSDB) - PSDB","Incumbent",NA,"","Friedenberg (2016a)"
"82","Brasil",1998,1,0,"Brazil","Luiz Inacio Lula da Silva","31,71","Partido de los Trabajadores - PT","Desafiante",NA,"","Friedenberg (2016a)"
"83","Brasil",1998,1,0,"Brazil","","11","PPS - PPS","Desafiante",NA,"","Friedenberg (2016a)"
"84","Brasil",1998,1,0,"Brazil","","2,1","PRONA - PRONA","Desafiante",NA,"","Friedenberg (2016a)"
"85","Brasil",2002,1,1,"Brazil","Luiz Inacio Lula da Silva","46,44","Partido de los Trabajadores - PT","Desafiante",NA,"","Friedenberg (2016a)"
"86","Brasil",2002,1,1,"Brazil",NA,"23,19","PSDB - PSDB","Incumbente",NA,"","Friedenberg (2016a)"
"87","Brasil",2002,1,1,"Brazil","","17,9","PSB - PSB","Desafiante",NA,"","Friedenberg (2016a)"
"88","Brasil",2002,1,1,"Brazil","","12","PPS - PPS","Desafiante",NA,"","Friedenberg (2016a)"
"89","Brasil",2002,2,1,"Brazil","Luiz Inacio Lula da Silva","61,27","Partido de los Trabajadores - NA","Desafiante",NA,"","Friedenberg (2016a)"
"90","Brasil",2002,2,1,"Brazil",NA,"38,72","PSDB - PSDB","Incumbente",NA,"","Friedenberg (2016a)"
"91","Brasil",2006,1,1,"Brazil","Luiz Inacio Lula da Silva","48,61","Partido de los Trabajadores - PT","Incumbente",NA,"","Friedenberg (2016a)"
"92","Brasil",2006,1,1,"Brazil",NA,"41,64","PSDB - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"93","Brasil",2006,1,1,"Brazil","","2,6","PDT - ","Desafiante",NA,"","Friedenberg (2016a)"
"94","Brasil",2006,1,1,"Brazil","Luiz Inacio Lula da Silva","6,8","PSOL - ","Desafiante",NA,"","Friedenberg (2016a)"
"95","Brasil",2006,2,1,"Brazil","Luiz Inacio Lula da Silva","60,83","Partido de los Trabajadores - NA","Incumbent",NA,"","Friedenberg (2016a)"
"96","Brasil",2006,2,1,"Brazil",NA,"39,17","PSDB - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"97","Brasil",2010,1,1,"Brazil","Dilma Rousseff","46,91","Que Brasil siga cambiando (PT) - PT","Incumbent",NA,"","Friedenberg (2016a)"
"98","Brasil",2010,1,1,"Brazil",NA,"32,61","PSDB - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"99","Brasil",2010,1,1,"Brazil","","0,9","PSOL - PSOL","Desafiante",NA,"","Friedenberg (2016a)"
"100","Brasil",2010,1,1,"Brazil","","19,3","PV - PV","Desafiante",NA,"","Friedenberg (2016a)"
"101","Brasil",2010,2,1,"Brazil","Dilma Rousseff","56,05","Que Brasil siga cambiando (PT) - PT","Incumbent",NA,"","Friedenberg (2016a)"
"102","Brasil",2010,2,1,"Brazil",NA,"43,95","PSDB - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"103","Brasil",2014,1,1,"Brazil","Dilma Rousseff","41,59","Que Brasil siga cambiando (PT) - PT","Incumbent",NA,"","Friedenberg (2016a)"
"104","Brasil",2014,1,1,"Brazil","Aecio Neves","33,55","PSDB - PSDB","Desafiante",NA,"","Friedenberg (2016a)"
"105","Brasil",2014,1,1,"Brazil","Marina Silva","21,3","PSB - PSB","Desafiante",NA,"","Friedenberg (2016a)"
"106","Brasil",2014,2,1,"Brazil","Dilma Rousseff","51,64","Con la Fuerza del Pueblo (PT) - NA","Incumbent",NA,"","Friedenberg (2016a)"
