"","cat_pais","ncat_eleccion","ncat_ronda","ntc","source_ntc","all_ntc_caro"
"93","Costa Rica",2022,1,25,"Calculo propio con base en datos de candidatos",25
"94","Costa Rica",2022,2,2,"Calculo propio con base en datos de candidatos",2
"95","Ecuador",1960,1,4,"Calculo propio con base en datos de candidatos",4
"96","Ecuador",1968,1,5,"Calculo propio con base en datos de candidatos",5
"97","Ecuador",1979,1,6,"Calculo propio con base en datos de candidatos",6
"98","Ecuador",1979,2,2,"Calculo propio con base en datos de candidatos",2
"99","Ecuador",1984,1,9,"Lujan (2020)",NA
"100","Ecuador",1984,2,2,"Calculo propio con base en datos de candidatos",2
"101","Ecuador",1988,1,10,"Lujan (2020)",NA
"102","Ecuador",1988,2,2,"Calculo propio con base en datos de candidatos",2
"103","Ecuador",1992,1,12,"Calculo propio con base en datos de candidatos",12
"104","Ecuador",1992,2,2,"Calculo propio con base en datos de candidatos",2
"105","Ecuador",1996,1,9,"Lujan (2020)",NA
"106","Ecuador",1996,2,2,"Calculo propio con base en datos de candidatos",2
"107","Ecuador",1998,1,6,"Lujan (2020)",NA
"108","Ecuador",1998,2,2,"Calculo propio con base en datos de candidatos",2
"109","Ecuador",2002,1,11,"Lujan (2020)",NA
"110","Ecuador",2002,2,2,"Calculo propio con base en datos de candidatos",2
"111","Ecuador",2006,1,13,"Calculo propio con base en datos de candidatos",13
"112","Ecuador",2006,2,2,"Calculo propio con base en datos de candidatos",2
"113","Ecuador",2009,1,8,"Lujan (2020)",NA
"114","Ecuador",2013,1,8,"Calculo propio con base en datos de candidatos",8
"115","Ecuador",2017,1,8,"Calculo propio con base en datos de candidatos",8
"116","Ecuador",2017,2,2,"Calculo propio con base en datos de candidatos",2
"117","Ecuador",2021,1,16,"Calculo propio con base en datos de candidatos",16
"118","Ecuador",2021,2,2,"Calculo propio con base en datos de candidatos",2
"119","Ecuador",2023,1,8,"Calculo propio con base en datos de candidatos",8
"120","Ecuador",2023,2,2,"Calculo propio con base en datos de candidatos",2
"121","El Salvador",1984,1,8,"Lujan (2020)",NA
"122","El Salvador",1984,2,2,"Calculo propio con base en datos de candidatos",2
"123","El Salvador",1989,1,7,"Lujan (2020)",NA
"124","El Salvador",1994,1,7,"Lujan (2020)",NA
"125","El Salvador",1994,2,2,"Calculo propio con base en datos de candidatos",2
"126","El Salvador",1999,1,7,"Calculo propio con base en datos de candidatos",7
"127","El Salvador",2004,1,4,"Lujan (2020)",NA
"128","El Salvador",2009,1,2,"Lujan (2020)",NA
"129","El Salvador",2014,1,5,"Calculo propio con base en datos de candidatos",5
"130","El Salvador",2014,2,2,"Calculo propio con base en datos de candidatos",2
"131","El Salvador",2019,1,4,"Calculo propio con base en datos de candidatos",4
"132","El Salvador",2024,1,6,"Calculo propio con base en datos de candidatos",6
"133","Guatemala",1966,1,3,"Calculo propio con base en datos de candidatos",3
"134","Guatemala",1970,1,3,"Calculo propio con base en datos de candidatos",3
"135","Guatemala",1974,1,3,"Calculo propio con base en datos de candidatos",3
"136","Guatemala",1978,1,3,"Calculo propio con base en datos de candidatos",3
"137","Guatemala",1982,1,4,"Calculo propio con base en datos de candidatos",4
"138","Guatemala",1985,1,8,"Lujan (2020)",NA
"139","Guatemala",1985,2,2,"Calculo propio con base en datos de candidatos",2
"140","Guatemala",1991,1,12,"Lujan (2020)",NA
"141","Guatemala",1991,2,2,"Calculo propio con base en datos de candidatos",2
"142","Guatemala",1995,1,19,"Lujan (2020)",NA
"143","Guatemala",1995,2,2,"Calculo propio con base en datos de candidatos",2
"144","Guatemala",1999,1,11,"Lujan (2020)",NA
"145","Guatemala",1999,2,2,"Calculo propio con base en datos de candidatos",2
"146","Guatemala",2003,1,11,"Calculo propio con base en datos de candidatos",11
"147","Guatemala",2003,2,2,"Calculo propio con base en datos de candidatos",2
"148","Guatemala",2007,1,14,"Calculo propio con base en datos de candidatos",14
"149","Guatemala",2007,2,2,"Calculo propio con base en datos de candidatos",2
"150","Guatemala",2011,1,10,"Calculo propio con base en datos de candidatos",10
"151","Guatemala",2011,2,2,"Calculo propio con base en datos de candidatos",2
"152","Guatemala",2015,1,14,"Calculo propio con base en datos de candidatos",14
"153","Guatemala",2015,2,2,"Calculo propio con base en datos de candidatos",2
"154","Guatemala",2019,1,19,"Calculo propio con base en datos de candidatos",19
"155","Guatemala",2019,2,2,"Calculo propio con base en datos de candidatos",2
"156","Guatemala",2023,1,22,"Calculo propio con base en datos de candidatos",22
"157","Guatemala",2023,2,2,"Calculo propio con base en datos de candidatos",2
"158","Honduras",1981,1,4,"Lujan (2020)",NA
"159","Honduras",1985,1,4,"Lujan (2020)",NA
"160","Honduras",1989,1,4,"Lujan (2020)",NA
"161","Honduras",1993,1,4,"Calculo propio con base en datos de candidatos",4
"162","Honduras",1997,1,5,"Lujan (2020)",NA
"163","Honduras",2001,1,5,"Lujan (2020)",NA
"164","Honduras",2005,1,5,"Lujan (2020)",NA
"165","Honduras",2009,1,5,"Lujan (2020)",NA
"166","Honduras",2013,1,8,"Calculo propio con base en datos de candidatos",8
"167","Honduras",2017,1,9,"Calculo propio con base en datos de candidatos",9
"168","Honduras",2021,1,15,"Calculo propio con base en datos de candidatos",15
"169","Mexico",1982,1,7,"Lujan (2020)",NA
"170","Mexico",1988,1,5,"Lujan (2020)",NA
"171","Mexico",1994,1,9,"Calculo propio con base en datos de candidatos",9
"172","Mexico",2000,1,7,"Calculo propio con base en datos de candidatos",7
"173","Mexico",2006,1,6,"Calculo propio con base en datos de candidatos",6
"174","Mexico",2012,1,5,"Calculo propio con base en datos de candidatos",5
