"","cat_pais","ncat_eleccion","ncat_ronda","edadregimenppolity","source_edadregimenppolity","edadregimenbmr","source_edadregimenbmr","edadregimenmainw","source_edadregimenmainw","edadregimenfilled","source_edadregimenfilled"
"45","Chile",2000,2,11,"Base Qof p_durable",11,"Base Qof bmr_demdur",10,"Mainwaring & Su (2021) - age_demo",10,"10"
"46","Chile",2006,1,16,"Base Qof p_durable",16,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",16,"16"
"47","Chile",2006,2,17,"Base Qof p_durable",17,"Base Qof bmr_demdur",16,"Mainwaring & Su (2021) - age_demo",16,"16"
"48","Chile",2010,1,20,"Base Qof p_durable",20,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",20,"20"
"49","Chile",2010,2,21,"Base Qof p_durable",21,"Base Qof bmr_demdur",20,"Mainwaring & Su (2021) - age_demo",20,"20"
"50","Chile",2013,2,24,"Base Qof p_durable",24,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",24,"24"
"51","Chile",2013,1,24,"Base Qof p_durable",24,"Base Qof bmr_demdur",24,"Mainwaring & Su (2021) - age_demo",24,"24"
"52","Chile",2017,2,28,"Base Qof p_durable",28,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",28,"28"
"53","Chile",2017,1,28,"Base Qof p_durable",28,"Base Qof bmr_demdur",28,"Mainwaring & Su (2021) - age_demo",28,"28"
"54","Chile",2021,2,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",32,"32"
"55","Chile",2021,1,NA,NA,NA,NA,NA,"Mainwaring & Su (2021) - age_demo",32,"32"
"56","Colombia",1974,1,17,"Base Qof p_durable",17,"Base Qof bmr_demdur",4,"Mainwaring & Su (2021) - age_demo",17,"17"
"57","Colombia",1978,1,21,"Base Qof p_durable",21,"Base Qof bmr_demdur",8,"Mainwaring & Su (2021) - age_demo",21,"21"
"58","Colombia",1982,1,25,"Base Qof p_durable",25,"Base Qof bmr_demdur",12,"Mainwaring & Su (2021) - age_demo",25,"25"
