decada,n_debates_cregistro_en_decada,pr_formatoduelo,pr_formatolibre,pr_formatoexpositivo,pr_formatomoderadores,pr_formatoperiodistas,pr_formatoexpertos,pr_formatosectores,pr_formatopresentes,pr_formatovirtuales
1960,1,100,0,0,0,0,0,0,0,0
1980,13,61.53846153846154,0,0,30.76923076923077,76.92307692307693,0,0,0,0
1990,18,38.88888888888889,5.555555555555555,5.555555555555555,27.77777777777778,50,0,5.555555555555555,5.555555555555555,0
2000,43,30.23255813953488,2.3255813953488373,11.627906976744185,34.883720930232556,27.906976744186046,6.976744186046512,2.3255813953488373,4.651162790697675,4.651162790697675
2010,173,39.30635838150289,15.028901734104046,6.9364161849710975,56.06936416184971,25.43352601156069,9.248554913294797,9.826589595375722,2.312138728323699,7.514450867052023
2020,71,32.3943661971831,22.535211267605636,7.042253521126761,70.4225352112676,18.30985915492958,8.450704225352112,26.76056338028169,1.4084507042253522,4.225352112676056
