decada,n_debates_cregistro_en_decada,pr_temalibre,pr_temabloques,pr_temapuntuales,pr_temamonotema
1960,1,0,100,0,0
1980,13,46.15384615384615,30.76923076923077,46.15384615384615,7.6923076923076925
1990,13,30.76923076923077,7.6923076923076925,61.53846153846154,15.384615384615385
2000,43,18.6046511627907,32.55813953488372,58.139534883720934,9.30232558139535
2010,176,30.113636363636363,26.704545454545453,50.56818181818182,21.022727272727273
2020,68,30.88235294117647,27.941176470588236,63.23529411764706,17.647058823529413
